Gene,Phenotype,Analysis_Date
5'-10'-methylenetetrahydrofolate reductase,migraine,2026-04-09 21:32:48
5-HT transporter,migraine,2026-04-09 21:32:48
5-HT(1B),migraine,2026-04-09 21:32:48
5-HT1A,migraine,2026-04-09 21:32:48
5-HT1A receptor,migraine,2026-04-09 21:32:48
5-HT1B,migraine,2026-04-09 21:32:48
5-HT2A,migraine,2026-04-09 21:32:48
5-HT2A receptor,migraine,2026-04-09 21:32:48
5-HT2C (serotonin-2C) receptor,migraine,2026-04-09 21:32:48
5-HT2C receptor,migraine,2026-04-09 21:32:48
5-HT2a receptor,migraine,2026-04-09 21:32:48
5-HTT,migraine,2026-04-09 21:32:48
5-HTTLPR,migraine,2026-04-09 21:32:48
"5HT1B,5HT2A",migraine,2026-04-09 21:32:48
5HT2A receptor,migraine,2026-04-09 21:32:48
5HT6,migraine,2026-04-09 21:32:48
5HTT,migraine,2026-04-09 21:32:48
5HTTLPR,migraine,2026-04-09 21:32:48
7SK,migraine,2026-04-09 21:32:48
A2ML1-AS1,migraine,2026-04-09 21:32:48
A3GALT2,migraine,2026-04-09 21:32:48
A4GALT,migraine,2026-04-09 21:32:48
AADAC,migraine,2026-04-09 21:32:48
AARS1,migraine,2026-04-09 21:32:48
AARS2,migraine,2026-04-09 21:32:48
AASS,migraine,2026-04-09 21:32:48
ABAT,migraine,2026-04-09 21:32:48
ABCA1,migraine,2026-04-09 21:32:48
ABCA2,migraine,2026-04-09 21:32:48
ABCA7,migraine,2026-04-09 21:32:48
ABCB1,migraine,2026-04-09 21:32:48
ABCB5,migraine,2026-04-09 21:32:48
ABCC2,migraine,2026-04-09 21:32:48
ABCC8,migraine,2026-04-09 21:32:48
ABCD2,migraine,2026-04-09 21:32:48
ABCF2P1,migraine,2026-04-09 21:32:48
ABCG2,migraine,2026-04-09 21:32:48
ABCG5,migraine,2026-04-09 21:32:48
ABCG8,migraine,2026-04-09 21:32:48
ABHD16B,migraine,2026-04-09 21:32:48
ABHD17C,migraine,2026-04-09 21:32:48
ABI3BP,migraine,2026-04-09 21:32:48
ABL1,migraine,2026-04-09 21:32:48
