Gene,Database_Count,Databases,Confidence_Level
CACNA1A,7,clinvar;gwasrapidd;hpo;omim;opentargets;pubmed;uniprot,High
TREX1,7,clinvar;gwasrapidd;hpo;omim;opentargets;pubmed;uniprot,High
SCN1A,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
SLC1A3,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
SLC2A1,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
COL4A1,6,clinvar;gwasrapidd;hpo;omim;opentargets;pubmed,High
ATP1A2,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
CSNK1D,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
PRRT2,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
KCNK18,6,clinvar;hpo;omim;opentargets;pubmed;uniprot,High
TNF,5,clinvar;hpo;omim;opentargets;pubmed,High
HTRA1,5,clinvar;gwasrapidd;omim;opentargets;pubmed,High
ALPK1,5,clinvar;hpo;omim;opentargets;uniprot,High
COL4A2,5,clinvar;gwasrapidd;omim;opentargets;pubmed,High
OPA1,5,clinvar;hpo;omim;opentargets;pubmed,High
ESR1,5,clinvar;hpo;omim;opentargets;pubmed,High
CACNA1H,5,clinvar;gwasrapidd;omim;opentargets;pubmed,High
NOTCH3,5,clinvar;hpo;omim;opentargets;pubmed,High
ADARB2,5,gtex;gtex_prioritized;gwasrapidd;opentargets;pubmed,High
RNF213,5,clinvar;gwasrapidd;omim;opentargets;pubmed,High
EDNRA,5,clinvar;hpo;omim;opentargets;pubmed,High
ACSL5,5,gtex;gtex_prioritized;gwasrapidd;opentargets;pubmed,High
ATP1A4,5,gtex;gtex_prioritized;omim;opentargets;pubmed,High
POLG,5,clinvar;hpo;omim;opentargets;pubmed,High
FADS2,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
GSTM4,4,gtex;gtex_prioritized;opentargets;pubmed,High
SLC25A21,4,gwasrapidd;omim;opentargets;pubmed,High
MTHFR,4,clinvar;omim;opentargets;pubmed,High
ATP1A3,4,omim;opentargets;pubmed;uniprot,High
TPSD1,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
TIGAR,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
SLC12A1,4,gtex;gtex_prioritized;opentargets;pubmed,High
PHACTR1,4,gwasrapidd;omim;opentargets;pubmed,High
RPS26,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
AFAP1,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
TGFBR2,4,hpo;omim;opentargets;pubmed,High
SCN5A,4,clinvar;opentargets;pubmed;uniprot,High
SLC20A2,4,clinvar;omim;opentargets;pubmed,High
HTR1F,4,omim;opentargets;pubmed;uniprot,High
PEX11B,4,clinvar;hpo;omim;uniprot,High
MT-TL1,4,clinvar;hpo;opentargets;pubmed,High
CALCA,4,gwasrapidd;omim;opentargets;pubmed,High
PDGFRB,4,clinvar;hpo;omim;opentargets,High
GABRG2,4,clinvar;hpo;omim;opentargets,High
AMACR,4,clinvar;hpo;omim;uniprot,High
CST3,4,hpo;omim;opentargets;uniprot,High
PDGFB,4,hpo;omim;opentargets;pubmed,High
TGFB3,4,gwasrapidd;omim;opentargets;pubmed,High
HLA-C,4,gtex;gtex_prioritized;opentargets;pubmed,High
SLC6A4,4,clinvar;omim;opentargets;pubmed,High
NLRP1,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
NDUFS5,4,gtex;gtex_prioritized;gwasrapidd;opentargets,High
MTRF1L,3,gtex;gtex_prioritized;gwasrapidd,High
TMEM176B,3,gtex;gtex_prioritized;opentargets,High
LYZ,3,gtex;gtex_prioritized;omim,High
C1QL3,3,gtex;gtex_prioritized;gwasrapidd,High
HSD17B12,3,gtex;gtex_prioritized;opentargets,High
INTS1,3,gtex;gtex_prioritized;opentargets,High
CLEC18A,3,gtex;gtex_prioritized;opentargets,High
FHL5,3,gwasrapidd;opentargets;pubmed,High
SPINK2,3,gwasrapidd;opentargets;pubmed,High
HTR2A,3,omim;opentargets;pubmed,High
ERAP2,3,gtex;gtex_prioritized;pubmed,High
EFHB,3,gtex;gtex_prioritized;gwasrapidd,High
