"Gene","Tissue_Count","Best_QValue","Best_Empirical_PValue","Best_PValue","Mean_Abs_Log2_AFC","Example_Tissues","Gencode_ID","Phenotype","Selected_Tissues"
"DDX11",7,1.6229e-264,2.81428e-268,4.63449e-299,2.10798657142857,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000013573.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"ZNF266",7,2.46e-234,8.5318e-238,1.41296e-255,1.15614685714286,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000174652.17","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"XRRA1",7,9.00182e-228,4.68303e-231,3.73282e-258,1.72737842857143,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000166435.15","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"GABPB1-AS1",7,2.36044e-225,1.6373e-228,1.2152e-254,1.58853485714286,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000244879.6","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RPS26",7,4.04926e-224,3.51092e-227,3.42714e-251,2.19120628571429,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000197728.9","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"C2orf74",7,3.75902e-219,3.91112e-222,2.77465e-253,1.20667714285714,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000237651.6","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"ERAP2",7,1.43386e-203,1.98917e-206,3.13115e-231,2.73968,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000164308.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"LINC01291",7,3.44651e-201,5.37894e-204,4.67414e-229,6.49111871428571,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000204792.2","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"PSMD5-AS1",7,6.51541e-200,1.12984e-202,9.61297e-225,2.14496771428571,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000226752.9","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"CPSF1",7,3.60367e-199,6.87406e-202,1.47475e-223,0.971529571428571,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000071894.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
