"Tissue","Gene","Gencode_ID","QValue","Empirical_PValue","PValue","PValue_Threshold","Log2_AFC"
"Lung","RPS26","ENSG00000197728.9",8.00261e-191,1.01642e-194,6.19236e-217,0.000160108,-2.03498
"Lung","XRRA1","ENSG00000166435.15",1.08478e-190,2.75559e-194,1.02349e-213,0.00018721,1.849259
"Lung","ERAP2","ENSG00000164308.16",6.88738e-187,2.62432e-190,1.06293e-211,0.000166525,2.742454
"Lung","DDX11","ENSG00000013573.16",2.29094e-183,1.1639e-186,1.12852e-210,0.000124897,-2.100957
"Lung","ZNF266","ENSG00000174652.17",1.75459e-179,1.11426e-182,3.53061e-199,9.24191e-05,1.081377
"Lung","PSMD5-AS1","ENSG00000226752.9",2.76762e-176,2.10911e-179,4.37969e-198,0.000173007,-2.312657
"Lung","GABPB1-AS1","ENSG00000244879.6",6.46364e-176,5.74667e-179,3.75215e-204,0.000230301,1.598273
"Lung","SPATA20","ENSG00000006282.20",1.17051e-162,1.18934e-165,1.76053e-178,9.57613e-05,-1.137745
"Lung","CCDC163","ENSG00000280670.2",3.22878e-151,3.69081e-154,7.67401e-176,0.000243623,-2.28442
"Lung","C2orf74","ENSG00000237651.6",2.49162e-147,3.16463e-150,3.64448e-169,0.000221294,1.149233
"Lung","CHURC1","ENSG00000258289.8",5.03567e-144,7.03544e-147,2.46544e-165,0.000143554,0.692735
"Lung","LINC02210","ENSG00000204650.14",6.56688e-143,1.00088e-145,4.43821e-167,0.000289182,1.211762
"Lung","CMB9-55F22.1","ENSG00000279672.1",5.82466e-140,9.61734e-143,9.52332e-159,0.00010487,-1.601104
"Lung","CPSF1","ENSG00000071894.16",7.79314e-140,1.38574e-142,6.08495e-158,0.000160668,1.043319
"Lung","FAM118A","ENSG00000100376.11",5.82264e-139,1.10931e-141,3.1296e-155,6.21218e-05,-2.692949
"Lung","AP000350.5","ENSG00000273295.1",9.15334e-139,1.86012e-141,1.13527e-154,9.52952e-05,6.435377
"Lung","MIF-AS1","ENSG00000218537.1",1.30613e-137,2.82018e-140,3.02863e-156,8.6158e-05,3.40437
"Lung","RPL9","ENSG00000163682.15",2.07447e-137,4.98372e-140,2.50417e-157,0.000108496,-0.550621
"Lung","SNHG5","ENSG00000203875.10",2.07447e-137,5.00612e-140,9.70335e-160,0.000262007,1.303582
"Lung","LINC01291","ENSG00000204792.2",6.21139e-137,1.57783e-139,8.63197e-154,0.000130375,5.985791
"Lung","PPIE","ENSG00000084072.16",4.65524e-136,1.24166e-138,2.76125e-154,0.000158312,0.999294
"Lung","DNAJC15","ENSG00000120675.5",4.1913e-135,1.17115e-137,6.68938e-152,0.000124286,-1.058031
"Lung","PILRB","ENSG00000121716.20",2.6024e-133,7.60228e-136,2.7113e-155,0.000229937,1.017745
"Lung","EXOSC6","ENSG00000223496.2",1.61635e-131,4.92707e-134,2.69566e-153,0.000263188,-0.687252
"Lung","PSPHP1","ENSG00000226278.1",5.28943e-131,1.67954e-133,1.79304e-164,0.000221752,5.463015
"Lung","LRRC37A4P","ENSG00000214425.7",1.4511e-130,4.79196e-133,1.08555e-152,0.000248402,-5.669486
"Lung","RP11-298I3.6","ENSG00000279656.1",5.96901e-130,2.04695e-132,2.64039e-141,6.88793e-05,-4.787916
"Lung","LINC00339","ENSG00000218510.6",4.09633e-128,1.45678e-130,2.0565e-146,0.000111577,0.945388
"Lung","GTF2A1L","ENSG00000242441.7",4.10071e-125,1.53872e-127,5.02579e-146,0.000153596,4.202595
"Lung","FLYWCH1","ENSG00000059122.16",4.10071e-125,1.59842e-127,1.72729e-141,9.42301e-05,1.038638
"Lung","NDUFS5","ENSG00000168653.10",4.10071e-125,1.61459e-127,5.81989e-142,0.000120258,-0.652681
"Lung","MAN2C1","ENSG00000140400.16",4.84153e-124,1.96777e-126,6.92625e-145,0.000228045,-0.638733
"Lung","CPNE1","ENSG00000214078.12",5.06835e-120,2.12433e-122,3.37974e-138,0.000301877,-1.089816
"Lung","ITGB3BP","ENSG00000142856.16",6.20697e-119,2.6804e-121,2.50384e-132,0.000133813,-1.061878
"Lung","LTK","ENSG00000062524.15",1.62206e-118,7.21069e-121,2.42169e-136,0.000210523,-2.226144
"Lung","RP11-526I2.5","ENSG00000270127.2",1.51559e-117,6.92989e-120,4.03849e-133,6.53497e-05,-2.303482
"Lung","BTNL3","ENSG00000168903.8",1.41502e-116,6.64975e-119,5.00565e-131,0.000117292,5.120214
"Lung","WBSCR27","ENSG00000165171.10",9.22877e-116,4.45419e-118,4.06511e-130,0.000182887,-2.125822
"Lung","DDX11L2","ENSG00000236397.3",2.20853e-115,1.09398e-117,4.94962e-133,0.000143049,2.959169
"Lung","BTN3A2","ENSG00000186470.13",4.60362e-115,2.33884e-117,1.52518e-135,0.000278816,-3.497044
"Lung","GLIPR1L2","ENSG00000180481.10",1.10656e-114,5.76237e-117,2.79975e-129,0.000124691,-2.244113
"Lung","ZNF300P1","ENSG00000197083.11",1.23485e-112,6.58727e-115,1.31041e-126,0.000102252,3.384645
"Lung","CYP4F24P","ENSG00000267594.5",3.20044e-112,1.74791e-114,3.3486e-128,9.07335e-05,-5.642114
"Lung","STAG3L5P","ENSG00000242294.6",8.42268e-112,4.707e-114,5.47707e-131,0.00021976,1.131631
"Lung","NBPF3","ENSG00000142794.18",1.09853e-110,6.27863e-113,7.02644e-126,0.000111326,-1.637293
"Lung","RP11-190A12.8","ENSG00000272668.1",4.74925e-110,2.77475e-112,8.13133e-124,9.34153e-05,1.760612
"Lung","LINC00960","ENSG00000242516.1",1.20059e-109,7.16697e-112,1.62353e-125,0.000162054,-2.524555
"Lung","STX2","ENSG00000111450.13",1.2051e-108,7.34695e-111,3.47181e-123,5.67188e-05,0.7158
"Lung","NPIPB2","ENSG00000234719.8",2.89435e-108,1.80131e-110,2.82544e-126,8.35951e-05,-3.234442
"Lung","AF011889.2","ENSG00000238039.1",3.31767e-108,2.1069e-110,1.66839e-121,0.000177702,-1.90033
"Lung","XKR9","ENSG00000221947.7",4.43587e-108,2.87336e-110,4.88286e-122,0.000136044,4.042696
"Lung","KANSL1-AS1","ENSG00000214401.4",9.33302e-108,6.16406e-110,1.92716e-124,0.00028016,2.73736
"Lung","GBP3","ENSG00000117226.11",9.76338e-108,6.5723e-110,1.15915e-123,0.000206378,-1.443369
"Lung","RP11-661A12.5","ENSG00000254859.1",3.56564e-107,2.44553e-109,3.48666e-121,0.000109812,-3.788511
"Lung","AC091729.9","ENSG00000229043.2",4.30435e-107,3.00685e-109,2.51712e-121,6.51833e-05,-1.397973
"Lung","HLA-DRB5","ENSG00000198502.5",2.27217e-106,1.61611e-108,4.29569e-128,0.00017368,-2.75856
"Lung","ARL16","ENSG00000214087.8",2.54924e-106,1.85669e-108,1.40419e-120,8.71114e-05,-1.081639
"Lung","LINC01504","ENSG00000225434.2",2.54924e-106,1.87793e-108,5.90065e-122,0.000147347,1.993781
"Lung","C21orf33","ENSG00000160221.16",2.7674e-105,2.07379e-107,5.57593e-118,9.96308e-05,5.544935
"Lung","ZNF100","ENSG00000197020.10",2.93034e-105,2.23311e-107,9.70596e-125,0.000221049,-0.860271
"Lung","RP11-22B23.1","ENSG00000111788.10",3.26476e-105,2.52943e-107,1.25477e-120,0.000131806,-1.925962
"Lung","CICP14","ENSG00000281490.1",6.74006e-105,5.30758e-107,1.88286e-121,0.000154945,1.10726
"Lung","AC068282.3","ENSG00000236682.1",1.76408e-104,1.41156e-106,2.60374e-119,0.000144342,-4.734671
"Lung","CBLN3","ENSG00000139899.10",1.98467e-104,1.61328e-106,5.54338e-118,0.000106657,1.680155
"Lung","NSA2","ENSG00000164346.9",3.51673e-104,2.90331e-106,5.58706e-117,0.000115787,0.713047
"Lung","AC005154.6","ENSG00000196295.11",3.69653e-104,3.11405e-106,9.66782e-117,0.000116223,-0.815598
"Lung","PEX6","ENSG00000124587.13",3.69653e-104,3.14565e-106,1.16639e-118,0.000110757,0.818901
"Lung","HSD17B12","ENSG00000149084.12",1.9353e-103,1.67147e-105,3.16038e-117,0.000111718,-0.814464
"Lung","HEATR3","ENSG00000155393.12",3.04713e-103,2.67043e-105,6.604e-115,9.6076e-05,0.9905
"Lung","ATP23","ENSG00000166896.7",1.05487e-102,9.3786e-105,4.84974e-118,0.000189114,-1.198075
"Lung","FLVCR1-AS1","ENSG00000198468.7",2.38932e-102,2.15464e-104,2.98443e-117,0.000123034,1.873593
"Lung","PALM3","ENSG00000187867.8",1.98161e-101,1.81214e-103,1.2895e-116,7.58421e-05,-3.632031
"Lung","AC104135.2","ENSG00000236209.1",1.02174e-100,9.47337e-103,9.00227e-118,0.000135724,3.562348
"Lung","CCDC82","ENSG00000149231.11",5.89605e-100,5.54159e-102,1.717e-112,9.90201e-05,0.776408
"Lung","IGHV5-10-1","ENSG00000282651.2",9.19036e-100,8.75458e-102,7.62267e-114,0.000134912,-5.456505
"Lung","PWP2","ENSG00000241945.7",1.16685e-99,1.12634e-101,2.28805e-114,8.81612e-05,4.197069
"Lung","RP11-109L13.1","ENSG00000254851.1",1.75764e-99,1.71895e-101,8.26644e-113,8.26609e-05,3.919764
"Lung","TAPBPL","ENSG00000139192.11",3.20455e-99,3.1747e-101,3.43958e-112,8.37523e-05,0.689369
"Lung","AP006621.5","ENSG00000255284.1",1.27371e-98,1.27802e-100,1.50493e-111,0.000118003,-0.983541
"Lung","ZC3H3","ENSG00000014164.6",1.70368e-98,1.73109e-100,2.00047e-112,0.000104845,-0.703386
"Lung","SMDT1","ENSG00000183172.8",2.96875e-98,3.05422e-100,1.48707e-114,0.000221835,-0.525178
"Lung","RP4-756H11.3","ENSG00000226824.6",3.16567e-98,3.29701e-100,3.24869e-116,0.000336768,2.098448
"Lung","RP11-274B21.4","ENSG00000230715.3",4.96262e-98,5.23155e-100,1.07289e-111,0.000167589,0.716682
"Lung","SFXN4","ENSG00000183605.16",7.17925e-98,7.65949e-100,5.31469e-112,0.000109582,0.761527
"Lung","IGHV7-4-1","ENSG00000282122.1",8.13477e-98,8.78225e-100,7.85583e-111,0.000121121,5.764998
"Lung","MRPL21","ENSG00000197345.12",8.14043e-98,8.89175e-100,1.12789e-111,9.4614e-05,-0.493718
"Lung","IGHMBP2","ENSG00000132740.8",1.32089e-97,1.45958e-99,5.30771e-111,0.000117791,0.646805
"Lung","SLC35E2B","ENSG00000189339.11",2.18086e-97,2.43754e-99,1.68508e-110,8.15113e-05,-1.032338
"Lung","GPX7","ENSG00000116157.5",2.29403e-97,2.59317e-99,7.18103e-111,0.000203608,-0.940703
"Lung","RP5-1021I20.1","ENSG00000259065.1",2.54877e-97,2.9135e-99,2.23064e-113,0.000194738,1.99306
"Lung","NBPF26","ENSG00000273136.6",6.90159e-97,7.97686e-99,8.2439e-113,0.000331603,-1.955708
"Lung","DGKQ","ENSG00000145214.13",1.14171e-96,1.33409e-98,5.89222e-111,0.000108566,0.503159
"Lung","RP11-259G18.3","ENSG00000262539.1",1.58389e-96,1.87089e-98,7.61159e-112,0.000237863,6.643856
"Lung","AGAP4","ENSG00000188234.13",3.8121e-96,4.55128e-98,1.47422e-110,0.000174513,0.976977
"Lung","MAPK8IP1P2","ENSG00000263503.1",6.16999e-96,7.44474e-98,1.74486e-115,0.000270289,6.635893
"Lung","CEP192","ENSG00000101639.18",8.46383e-96,1.032e-97,3.79392e-108,0.000120041,-0.76796
"Lung","THNSL2","ENSG00000144115.16",1.21882e-95,1.50159e-97,2.98789e-109,0.000158624,4.224215
"Lung","HLA-DQA2","ENSG00000237541.3",1.78366e-95,2.22013e-97,2.85753e-114,0.000167206,3.95085
"Lung","CCDC18-AS1","ENSG00000223745.7",2.51369e-95,3.16074e-97,5.14123e-110,0.000213547,1.327859
"Lung","USP32P2","ENSG00000233327.10",2.92833e-94,3.7193e-96,8.10028e-110,0.000206257,-4.615934
"Lung","ANAPC13","ENSG00000129055.12",3.24447e-94,4.16204e-96,1.3043e-106,0.000107387,0.507313
"Lung","RP11-104N10.2","ENSG00000274627.1",2.04562e-93,2.65013e-95,7.7111e-110,0.000105925,1.080809
"Lung","RP11-613D13.10","ENSG00000283375.1",5.57137e-93,7.28854e-95,8.60874e-106,0.000120674,-0.728377
"Lung","TRIM52-AS1","ENSG00000248275.1",9.87369e-93,1.30423e-94,1.77154e-105,0.000130971,-0.78146
"Lung","ZFP57","ENSG00000204644.9",1.05383e-92,1.40541e-94,1.56769e-118,0.000381966,6.217186
"Lung","CTB-171A8.1","ENSG00000266903.1",1.19549e-92,1.60951e-94,1.33465e-104,8.96555e-05,-3.13786
"Lung","CTD-2303H24.2","ENSG00000273018.5",4.00565e-92,5.44375e-94,2.74707e-104,0.000216797,-5.803007
"Lung","PPIL3","ENSG00000240344.8",9.60882e-92,1.31806e-93,9.37334e-109,0.000215637,-0.792596
"Lung","AGAP9","ENSG00000204172.12",1.07227e-91,1.48447e-93,1.19878e-108,0.000213661,-3.222025
"Lung","MOSPD2","ENSG00000130150.11",1.4965e-91,2.09079e-93,4.06946e-105,0.000268787,-0.63291
"Lung","MAPK8IP1P1","ENSG00000262500.1",1.61139e-91,2.27178e-93,6.32607e-115,0.000261456,4.327452
"Lung","TRIM66","ENSG00000166436.15",2.58757e-91,3.68088e-93,1.79871e-103,0.000117568,0.667621
"Lung","RP11-532F6.3","ENSG00000272463.1",1.19232e-90,1.71125e-92,3.12448e-101,7.31392e-05,1.662794
"Lung","RPL36P4","ENSG00000224497.1",1.94845e-90,2.82121e-92,9.63267e-106,0.000284069,2.777686
"Lung","MGRN1","ENSG00000102858.12",2.82465e-90,4.12576e-92,2.21669e-102,7.0329e-05,0.467078
"Lung","HLA-DQB2","ENSG00000232629.8",3.14062e-90,4.62716e-92,3.61529e-108,0.000166554,3.31897
"Lung","SNHG17","ENSG00000196756.11",3.70191e-90,5.50114e-92,3.00123e-102,0.000130598,0.925416
"Lung","SLC25A41","ENSG00000181240.13",4.97116e-90,7.45042e-92,1.87993e-101,6.75242e-05,-2.853067
"Lung","LINC01730","ENSG00000275491.1",5.90001e-90,8.91746e-92,1.57197e-102,9.28837e-05,2.198406
"Lung","CRIPAK","ENSG00000179979.8",6.15101e-90,9.37495e-92,5.45438e-102,0.000111911,1.746506
"Lung","RGPD8","ENSG00000169629.11",6.62323e-90,1.01788e-91,3.44365e-104,0.000133928,-2.638122
"Lung","MIF","ENSG00000240972.1",6.64141e-90,1.02911e-91,4.86018e-101,9.14814e-05,2.299609
"Lung","LINC01252","ENSG00000247157.6",8.37447e-90,1.30829e-91,4.14854e-101,9.4914e-05,-1.915871
"Lung","NBR2","ENSG00000198496.10",8.67343e-90,1.36601e-91,3.12809e-105,0.000249218,-1.048711
"Lung","DCTN5","ENSG00000166847.9",1.49749e-89,2.37747e-91,1.62253e-99,8.78864e-05,0.392545
"Lung","MRPS10","ENSG00000048544.5",1.51849e-89,2.4301e-91,5.22597e-100,8.76558e-05,0.423325
"Lung","MRE11","ENSG00000020922.12",1.94651e-89,3.1398e-91,3.78806e-102,0.000149366,0.536553
"Lung","MTRF1L","ENSG00000112031.15",2.73561e-89,4.44739e-91,2.89684e-101,0.000100083,-0.747764
"Lung","SIRPB1","ENSG00000101307.15",3.04007e-89,4.98098e-91,6.4571e-101,5.79282e-05,-1.33823
"Lung","SLC26A1","ENSG00000145217.13",4.11495e-89,6.79437e-91,1.53986e-102,0.00011414,-0.922928
"Lung","IGLV1-41","ENSG00000253818.1",4.71541e-89,7.8457e-91,1.72926e-100,9.74741e-05,4.364631
"Lung","HLA-DPB2","ENSG00000224557.7",6.27493e-89,1.05202e-90,1.15987e-106,0.000119875,2.616745
"Lung","HLA-DQB1","ENSG00000179344.16",6.54327e-89,1.10532e-90,1.5967e-107,0.000190321,-1.638024
"Lung","FAHD1","ENSG00000180185.11",7.52503e-89,1.28072e-90,6.59852e-102,6.31018e-05,0.816931
"Lung","NMRK1","ENSG00000106733.20",7.9302e-89,1.35975e-90,2.65745e-102,0.000107076,-0.641828
"Lung","RP11-996F15.2","ENSG00000257176.2",8.56486e-89,1.47945e-90,2.14704e-101,0.00011571,1.365137
"Lung","NT5C3B","ENSG00000141698.16",1.06537e-88,1.8538e-90,4.59798e-103,0.000155515,-0.512966
"Lung","SPTBN5","ENSG00000137877.9",1.70012e-88,2.97989e-90,4.22092e-103,0.000242238,-1.746864
"Lung","TOP3BP1","ENSG00000228050.1",1.96834e-88,3.47502e-90,2.01845e-100,9.23011e-05,3.616805
"Lung","DND1P1","ENSG00000264070.1",2.55533e-88,4.54377e-90,4.26375e-104,0.000261373,3.090852
"Lung","GUCY1B2","ENSG00000123201.14",3.44966e-88,6.17785e-90,2.4251e-101,0.000164635,-4.535609
"Lung","AP003068.23","ENSG00000254614.2",7.17017e-88,1.29318e-89,1.22335e-102,0.000207062,-1.75053
"Lung","ZRSR2","ENSG00000169249.12",9.17854e-88,1.66706e-89,3.93356e-101,0.000228038,-0.459984
"Lung","UGT2B4","ENSG00000156096.13",1.62884e-87,2.97908e-89,4.09873e-102,0.000212834,-4.995994
"Lung","RNASEH1-AS1","ENSG00000234171.2",4.38019e-87,8.06682e-89,1.90304e-98,7.39311e-05,-1.140582
"Lung","VPS28","ENSG00000160948.13",6.34742e-87,1.17704e-88,1.37573e-100,0.00013465,0.708761
"Lung","SNX16","ENSG00000104497.13",7.53767e-87,1.40733e-88,7.41029e-101,0.000180788,0.701488
"Lung","RBL2","ENSG00000103479.15",8.18587e-87,1.53875e-88,3.04477e-99,9.98859e-05,-0.403365
"Lung","ZNF559","ENSG00000188321.13",8.99832e-87,1.7029e-88,1.32898e-98,0.000103895,-1.21446
"Lung","CCT6P3","ENSG00000234585.6",2.33959e-86,4.4573e-88,1.68347e-103,0.000361496,-1.12799
"Lung","C1QL3","ENSG00000165985.9",6.83809e-86,1.31569e-87,4.57281e-100,0.000108385,2.428047
"Lung","TRAP1","ENSG00000126602.10",6.83809e-86,1.32014e-87,1.23303e-100,9.48311e-05,0.717527
"Lung","WI2-1896O14.1","ENSG00000215861.5",1.04928e-85,2.03903e-87,2.54577e-98,0.000219658,-1.360088
"Lung","AC093838.4","ENSG00000152117.17",1.96427e-85,3.84206e-87,1.7231e-100,0.000153186,-0.809512
"Lung","RP1-283E3.4","ENSG00000227775.3",2.92433e-85,5.75705e-87,1.09578e-97,6.79871e-05,1.267443
"Lung","SLC5A11","ENSG00000158865.12",3.43365e-85,6.80333e-87,5.15885e-96,8.61545e-05,3.2405
"Lung","GTF2IP14","ENSG00000226002.1",4.89045e-85,9.75192e-87,3.58308e-101,0.000350688,2.581858
"Lung","RHD","ENSG00000187010.19",6.28332e-85,1.26092e-86,1.02871e-97,0.000138266,-4.960328
"Lung","PRKXP1","ENSG00000259205.2",7.17866e-85,1.4561e-86,6.10368e-96,6.2953e-05,-2.31483
"Lung","AP000351.4","ENSG00000224205.1",7.17866e-85,1.45883e-86,7.53097e-95,8.93824e-05,5.448554
"Lung","DLG5","ENSG00000151208.16",8.19428e-85,1.67563e-86,9.7087e-96,0.000102447,0.642445
"Lung","PPFIA1","ENSG00000131626.16",1.05871e-84,2.17837e-86,3.55232e-96,9.55471e-05,-0.448108
"Lung","WASH2P","ENSG00000146556.14",1.73793e-84,3.598e-86,1.40944e-96,0.000155232,-0.802357
"Lung","EFCAB2","ENSG00000203666.12",3.46095e-84,7.20909e-86,4.11834e-95,6.10969e-05,-0.766661
"Lung","RP11-98I9.4","ENSG00000228506.1",3.86612e-84,8.10216e-86,1.34252e-97,0.000147998,1.119377
"Lung","KLHL7-AS1","ENSG00000230658.1",4.10259e-84,8.64982e-86,7.87249e-97,0.000147683,2.827006
"Lung","RP11-33B1.1","ENSG00000245958.6",5.22228e-84,1.10769e-85,2.08172e-96,0.000202193,-0.611516
"Lung","F2R","ENSG00000181104.6",1.93013e-83,4.11848e-85,9.00088e-95,7.849e-05,-1.435893
"Lung","RP11-325P15.1","ENSG00000225603.3",2.57842e-83,5.53455e-85,3.3058e-94,0.000176977,3.443119
"Lung","TPSD1","ENSG00000095917.13",6.48026e-83,1.39921e-84,1.82132e-95,6.3136e-05,3.804409
"Lung","LMO7-AS1","ENSG00000261105.5",8.32442e-83,1.80797e-84,8.15459e-94,0.000140683,-2.792808
"Lung","LINC00865","ENSG00000232229.5",8.55342e-83,1.86857e-84,1.12292e-94,0.000126864,1.684638
"Lung","RP11-536G4.2","ENSG00000258343.1",1.58801e-82,3.48931e-84,1.17816e-95,0.000117241,-3.89825
"Lung","FLCN","ENSG00000154803.12",1.85196e-82,4.09282e-84,1.11764e-96,0.00017464,0.772647
"Lung","RPA2","ENSG00000117748.9",2.16262e-82,4.80685e-84,3.7406e-95,0.000195955,0.820774
