"Gene","HPO_ID","HPO_Term","Gene_ID","HPO_Term_Lower","Source","Match_Pattern"
"AAGAB","HP:0012125","Prostate cancer","79719","prostate cancer","HPO_Term_Contains","cancer"
"AAGAB","HP:0012126","Stomach cancer","79719","stomach cancer","HPO_Term_Contains","cancer"
"AKT1","HP:0003003","Colon cancer","207","colon cancer","HPO_Term_Contains","cancer"
"APC","HP:0012126","Stomach cancer","324","stomach cancer","HPO_Term_Contains","cancer"
"APC","HP:0003003","Colon cancer","324","colon cancer","HPO_Term_Contains","cancer"
"AR","HP:0012125","Prostate cancer","367","prostate cancer","HPO_Term_Contains","cancer"
"ATM","HP:0012125","Prostate cancer","472","prostate cancer","HPO_Term_Contains","cancer"
"ATM","HP:0012126","Stomach cancer","472","stomach cancer","HPO_Term_Contains","cancer"
"AURKA","HP:0003003","Colon cancer","6790","colon cancer","HPO_Term_Contains","cancer"
"AXIN2","HP:0003003","Colon cancer","8313","colon cancer","HPO_Term_Contains","cancer"
"BARD1","HP:0012125","Prostate cancer","580","prostate cancer","HPO_Term_Contains","cancer"
"BAX","HP:0003003","Colon cancer","581","colon cancer","HPO_Term_Contains","cancer"
"BLM","HP:0012126","Stomach cancer","641","stomach cancer","HPO_Term_Contains","cancer"
"BMPR1A","HP:0012125","Prostate cancer","657","prostate cancer","HPO_Term_Contains","cancer"
"BMPR1A","HP:0012126","Stomach cancer","657","stomach cancer","HPO_Term_Contains","cancer"
"BMPR1A","HP:0003003","Colon cancer","657","colon cancer","HPO_Term_Contains","cancer"
"BRAF","HP:0003003","Colon cancer","673","colon cancer","HPO_Term_Contains","cancer"
"BRCA1","HP:0012125","Prostate cancer","672","prostate cancer","HPO_Term_Contains","cancer"
"BRCA1","HP:0003003","Colon cancer","672","colon cancer","HPO_Term_Contains","cancer"
"BRCA2","HP:0012125","Prostate cancer","675","prostate cancer","HPO_Term_Contains","cancer"
"BRCA2","HP:0012126","Stomach cancer","675","stomach cancer","HPO_Term_Contains","cancer"
"BRCA2","HP:0003003","Colon cancer","675","colon cancer","HPO_Term_Contains","cancer"
"BRIP1","HP:0012125","Prostate cancer","83990","prostate cancer","HPO_Term_Contains","cancer"
"BUB1","HP:0012126","Stomach cancer","699","stomach cancer","HPO_Term_Contains","cancer"
"BUB1","HP:0003003","Colon cancer","699","colon cancer","HPO_Term_Contains","cancer"
"BUB1B","HP:0012126","Stomach cancer","701","stomach cancer","HPO_Term_Contains","cancer"
"BUB1B","HP:0003003","Colon cancer","701","colon cancer","HPO_Term_Contains","cancer"
"BUB3","HP:0012126","Stomach cancer","9184","stomach cancer","HPO_Term_Contains","cancer"
"BUB3","HP:0003003","Colon cancer","9184","colon cancer","HPO_Term_Contains","cancer"
"C1S","HP:0003003","Colon cancer","716","colon cancer","HPO_Term_Contains","cancer"
"CASP10","HP:0012126","Stomach cancer","843","stomach cancer","HPO_Term_Contains","cancer"
"CCND1","HP:0003003","Colon cancer","595","colon cancer","HPO_Term_Contains","cancer"
"CDH1","HP:0012126","Stomach cancer","999","stomach cancer","HPO_Term_Contains","cancer"
"CDKN1B","HP:0030079","Cervix cancer","1027","cervix cancer","HPO_Term_Contains","cancer"
"CDKN2A","HP:0012125","Prostate cancer","1029","prostate cancer","HPO_Term_Contains","cancer"
"CDKN2A","HP:0012126","Stomach cancer","1029","stomach cancer","HPO_Term_Contains","cancer"
"CDKN2A","HP:0003003","Colon cancer","1029","colon cancer","HPO_Term_Contains","cancer"
