"Phenotype","Pathway_ID","Pathway_Name","KEGG_Gene_ID","Gene","Source"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:25","ABL1; ABL proto-oncogene 1","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:107","ADCY1; adenylate cyclase 1 [KO:K08041] [EC:4.6.1.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:108","ADCY2; adenylate cyclase 2 [KO:K08042] [EC:4.6.1.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:109","ADCY3; adenylate cyclase 3 [KO:K08043] [EC:4.6.1.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:196883","ADCY4; adenylate cyclase 4 [KO:K08044] [EC:4.6.1.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:111","ADCY5; adenylate cyclase 5 [KO:K08045] [EC:4.6.1.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:112","ADCY6; adenylate cyclase 6 [KO:K08046] [EC:4.6.1.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:113","ADCY7; adenylate cyclase 7 [KO:K08047] [EC:4.6.1.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:114","ADCY8; adenylate cyclase 8 [KO:K08048] [EC:4.6.1.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:115","ADCY9; adenylate cyclase 9 [KO:K08049] [EC:4.6.1.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:183","AGT; angiotensinogen [KO:K09821]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:185","AGTR1; angiotensin II receptor type 1 [KO:K04166]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:207","AKT1; AKT serine/threonine kinase 1 [KO:K04456] [EC:2.7.11.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:208","AKT2; AKT serine/threonine kinase 2 [KO:K04456] [EC:2.7.11.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:10000","AKT3; AKT serine/threonine kinase 3 [KO:K04456] [EC:2.7.11.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:238","ALK; ALK receptor tyrosine kinase [KO:K05119] [EC:2.7.10.1]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:317","APAF1; apoptotic peptidase activating factor 1 [KO:K02084]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:324","APC; APC regulator of WNT signaling pathway [KO:K02085]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:10297","APC2; APC regulator of WNT signaling pathway 2 [KO:K02085]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:26060","APPL1; adaptor protein","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:367","AR; androgen receptor [KO:K08557]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:369","ARAF; A-Raf proto-oncogene","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:9138","ARHGEF1; Rho guanine nucleotide exchange factor 1 [KO:K12330]","KEGG"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)","hsa:9826","ARHGEF11; Rho guanine nucleotide exchange factor 11 [KO:K12331]","KEGG"
