"Gene"
"ABCB1; ATP binding cassette subfamily B member 1 [KO:K05658] [EC:7.6.2.2]"
"ABCB1; ATP-dependent translocase ABCB1 isoform 2 [KO:K05658] [EC:7.6.2.2]"
"ABCC1; multidrug resistance-associated protein 1 isoform 1 [KO:K05665] [EC:7.6.2.3]"
"ABL1; ABL proto-oncogene 1"
"ABL1; tyrosine-protein kinase ABL1 isoform a [KO:K06619] [EC:2.7.10.2]"
"ACTB; actin beta [KO:K05692]"
"ACTG1; actin gamma 1 [KO:K05692]"
"ADCY1; adenylate cyclase 1 [KO:K08041] [EC:4.6.1.1]"
"ADCY2; adenylate cyclase 2 [KO:K08042] [EC:4.6.1.1]"
"ADCY3; adenylate cyclase 3 [KO:K08043] [EC:4.6.1.1]"
"ADCY4; adenylate cyclase 4 [KO:K08044] [EC:4.6.1.1]"
"ADCY5; adenylate cyclase 5 [KO:K08045] [EC:4.6.1.1]"
"ADCY6; adenylate cyclase 6 [KO:K08046] [EC:4.6.1.1]"
"ADCY7; adenylate cyclase 7 [KO:K08047] [EC:4.6.1.1]"
"ADCY8; adenylate cyclase 8 [KO:K08048] [EC:4.6.1.1]"
"ADCY9; adenylate cyclase 9 [KO:K08049] [EC:4.6.1.1]"
"AFF1; ALF transcription elongation factor 1 [KO:K15184]"
"AGT; angiotensinogen [KO:K09821]"
"AGTR1; angiotensin II receptor type 1 [KO:K04166]"
"AKT1; AKT serine/threonine kinase 1 [KO:K04456] [EC:2.7.11.1]"
"AKT2; AKT serine/threonine kinase 2 [KO:K04456] [EC:2.7.11.1]"
"AKT3; AKT serine/threonine kinase 3 [KO:K04456] [EC:2.7.11.1]"
"ALK; ALK receptor tyrosine kinase [KO:K05119] [EC:2.7.10.1]"
"ANK1; ankyrin 1 [KO:K10380]"
"ANK2; ankyrin 2 [KO:K09255]"
"ANK3; ankyrin 3 [KO:K09259]"
"APAF1; apoptotic peptidase activating factor 1 [KO:K02084]"
"APC; adenomatous polyposis coli protein isoform b [KO:K02085]"
"APC; APC regulator of WNT signaling pathway [KO:K02085]"
"APC2; adenomatous polyposis coli protein 2 isoform 1 [KO:K02085]"
"APC2; APC regulator of WNT signaling pathway 2 [KO:K02085]"
"APPL1; adaptor protein"
"AR; androgen receptor [KO:K08557]"
"ARAF; A-Raf proto-oncogene"
"AREG; amphiregulin [KO:K09782]"
"ARHGEF1; Rho guanine nucleotide exchange factor 1 [KO:K12330]"
"ARHGEF11; Rho guanine nucleotide exchange factor 11 [KO:K12331]"
"ARHGEF12; Rho guanine nucleotide exchange factor 12 [KO:K07532]"
"ARHGEF6; Rac/Cdc42 guanine nucleotide exchange factor 6 [KO:K05729]"
"ARNT; aryl hydrocarbon receptor nuclear translocator [KO:K09097]"
"ARNT2; aryl hydrocarbon receptor nuclear translocator 2 [KO:K15589]"
"ASPSCR1; ASPSCR1 tether for SLC2A4"
"ATF1; activating transcription factor 1 [KO:K09053]"
"ATF4; activating transcription factor 4 [KO:K04374]"
"ATM; ATM serine/threonine kinase [KO:K04728] [EC:2.7.11.1]"
"ATM; serine-protein kinase ATM isoform a [KO:K04728] [EC:2.7.11.1]"
"AXIN1; axin 1 [KO:K02157]"
"AXIN2; axin 2 [KO:K04385]"
"BAD; BCL2 associated agonist of cell death [KO:K02158]"
"BAIAP3; BAI1 associated protein 3 [KO:K15621]"
"BAK1; bcl-2 homologous antagonist/killer [KO:K14021]"
"BAK1; BCL2 antagonist/killer 1 [KO:K14021]"
"BATF; basic leucine zipper ATF-like transcription factor [KO:K09034]"
"BATF2; basic leucine zipper ATF-like transcription factor 2 [KO:K09034]"
"BATF3; basic leucine zipper ATF-like transcription factor 3 [KO:K09034]"
"BAX; BCL2 associated X"
"BBC3; BCL2 binding component 3 [KO:K10132]"
"BCL11B; BCL11 transcription factor B [KO:K22046]"
"BCL2; apoptosis regulator Bcl-2 isoform alpha [KO:K02161]"
"BCL2; BCL2 apoptosis regulator [KO:K02161]"
"BCL2A1; BCL2 related protein A1 [KO:K02162]"
"BCL2L1; BCL2 like 1 [KO:K04570]"
"BCL2L11; bcl-2-like protein 11 isoform 1 [KO:K16341]"
"BCL2L11; BCL2 like 11 [KO:K16341]"
"BCL2L2; bcl-2-like protein 2 [KO:K02163]"
"BCL6; BCL6 transcription repressor [KO:K15618]"
"BCR; BCR activator of RhoGEF and GTPase [KO:K08878] [EC:2.7.11.1]"
"BDKRB1; bradykinin receptor B1 [KO:K03915]"
"BDKRB2; bradykinin receptor B2 [KO:K03916]"
"BID; BH3 interacting domain death agonist [KO:K04726]"
"BIRC2; baculoviral IAP repeat containing 2 [KO:K16060]"
"BIRC3; baculoviral IAP repeat containing 3 [KO:K16060]"
"BIRC5; baculoviral IAP repeat containing 5 [KO:K08731]"
"BIRC7; baculoviral IAP repeat containing 7 [KO:K16061]"
"BMF; bcl-2-modifying factor isoform bmf-1 [KO:K17460]"
"BMI1; BMI1 proto-oncogene"
"BMI1; polycomb complex protein BMI-1 [KO:K11459]"
"BMP2; bone morphogenetic protein 2 [KO:K21283]"
"BMP2K; BMP2 inducible kinase [KO:K08854] [EC:2.7.11.1]"
"BMP4; bone morphogenetic protein 4 [KO:K04662]"
"BMPR2; bone morphogenetic protein receptor type-2 precursor [KO:K04671] [EC:2.7.11.30]"
"BRAF; B-Raf proto-oncogene"
"BRCA1; BRCA1 DNA repair associated [KO:K10605] [EC:2.3.2.27]"
"BRCA1; breast cancer type 1 susceptibility protein isoform 1 [KO:K10605] [EC:2.3.2.27]"
"BRCA2; BRCA2 DNA repair associated [KO:K08775]"
"CALM1; calmodulin 1 [KO:K02183]"
"CALM2; calmodulin 2 [KO:K02183]"
"CALM3; calmodulin 3 [KO:K02183]"
"CALML3; calmodulin like 3 [KO:K02183]"
"CALML4; calmodulin like 4 [KO:K02183]"
"CALML5; calmodulin like 5 [KO:K02183]"
"CALML6; calmodulin like 6 [KO:K02183]"
"CAMK2A; calcium/calmodulin dependent protein kinase II alpha [KO:K04515] [EC:2.7.11.17]"
"CAMK2B; calcium/calmodulin dependent protein kinase II beta [KO:K04515] [EC:2.7.11.17]"
"CAMK2D; calcium/calmodulin dependent protein kinase II delta [KO:K04515] [EC:2.7.11.17]"
"CAMK2G; calcium/calmodulin dependent protein kinase II gamma [KO:K04515] [EC:2.7.11.17]"
"CASP3; caspase 3 [KO:K02187] [EC:3.4.22.56]"
"CASP3; caspase-3 isoform a preproprotein [KO:K02187] [EC:3.4.22.56]"
"CASP7; caspase 7 [KO:K04397] [EC:3.4.22.60]"
"CASP8; caspase 8 [KO:K04398] [EC:3.4.22.61]"
"CASP9; caspase 9 [KO:K04399] [EC:3.4.22.62]"
"CAV1; caveolin 1 [KO:K06278]"
"CAV2; caveolin 2 [KO:K12958]"
"CAV3; caveolin 3 [KO:K12959]"
"CBL; Cbl proto-oncogene [KO:K04707] [EC:2.3.2.27]"
"CCDC6; coiled-coil domain containing 6 [KO:K09288]"
"CCNA1; cyclin A1 [KO:K06627]"
"CCNA2; cyclin A2 [KO:K06627]"
"CCND1; cyclin D1 [KO:K04503]"
"CCND1; G1/S-specific cyclin-D1 [KO:K04503]"
"CCND2; cyclin D2 [KO:K10151]"
"CCND2; G1/S-specific cyclin-D2 [KO:K10151]"
"CCND3; cyclin D3 [KO:K10152]"
"CCNE1; cyclin E1 [KO:K06626]"
"CCNE1; G1/S-specific cyclin-E1 isoform 1 [KO:K06626]"
"CCNE2; cyclin E2 [KO:K06626]"
"CCNE2; G1/S-specific cyclin-E2 [KO:K06626]"
"CCNG1; cyclin-G1 isoform a [KO:K10145]"
"CCNT1; cyclin T1 [KO:K15188]"
"CCNT2; cyclin T2 [KO:K15188]"
"CD14; CD14 molecule [KO:K04391]"
"CD247; CD247 molecule [KO:K06453]"
"CD274; CD274 molecule [KO:K06745]"
"CD28; CD28 molecule [KO:K06470]"
"CD3D; CD3 delta subunit of T-cell receptor complex [KO:K06450]"
"CD3E; CD3 epsilon subunit of T-cell receptor complex [KO:K06451]"
"CD3G; CD3 gamma subunit of T-cell receptor complex [KO:K06452]"
"CD4; CD4 molecule [KO:K06454]"
"CD40; CD40 molecule [KO:K03160]"
"CD44; CD44 antigen isoform 1 precursor [KO:K06256]"
"CD44; CD44 molecule (IN blood group) [KO:K06256]"
"CD63; CD63 molecule [KO:K06497]"
"CD86; CD86 molecule [KO:K05413]"
"CDC25A; M-phase inducer phosphatase 1 isoform a [KO:K06645] [EC:3.1.3.48]"
"CDC25B; M-phase inducer phosphatase 2 isoform 1 [KO:K05866] [EC:3.1.3.48]"
"CDC25C; M-phase inducer phosphatase 3 isoform a [KO:K05867] [EC:3.1.3.48]"
"CDC42; cell division cycle 42 [KO:K04393]"
"CDCA5; sororin isoform 1 [KO:K17390]"
"CDH1; cadherin 1 [KO:K05689]"
"CDH17; cadherin 17 [KO:K06811]"
"CDK14; cyclin dependent kinase 14 [KO:K08821] [EC:2.7.11.22]"
"CDK2; cyclin dependent kinase 2 [KO:K02206] [EC:2.7.11.22]"
"CDK4; cyclin dependent kinase 4 [KO:K02089] [EC:2.7.11.22]"
"CDK6; cyclin dependent kinase 6 [KO:K02091] [EC:2.7.11.22]"
"CDK6; cyclin-dependent kinase 6 [KO:K02091] [EC:2.7.11.22]"
"CDK9; cyclin dependent kinase 9 [KO:K02211] [EC:2.7.11.22 2.7.11.23]"
"CDKN1A; cyclin dependent kinase inhibitor 1A [KO:K06625]"
"CDKN1A; cyclin-dependent kinase inhibitor 1 isoform 1 [KO:K06625]"
"CDKN1B; cyclin dependent kinase inhibitor 1B [KO:K06624]"
"CDKN1B; cyclin-dependent kinase inhibitor 1B [KO:K06624]"
"CDKN2A; cyclin dependent kinase inhibitor 2A [KO:K06621]"
"CDKN2A; cyclin-dependent kinase inhibitor 2A isoform p16INK4a [KO:K06621]"
"CDKN2B; cyclin dependent kinase inhibitor 2B [KO:K04685]"
"CDKN2C; cyclin dependent kinase inhibitor 2C [KO:K06622]"
"CDX2; caudal type homeobox 2 [KO:K22234]"
"CEBPA; CCAAT enhancer binding protein alpha [KO:K09055]"
"CEBPB; CCAAT enhancer binding protein beta [KO:K10048]"
"CEBPE; CCAAT enhancer binding protein epsilon [KO:K10051]"
"CHKA; choline kinase alpha [KO:K14156] [EC:2.7.1.32 2.7.1.82]"
"CHKB; choline kinase beta [KO:K14156] [EC:2.7.1.32 2.7.1.82]"
"CHPT1; choline phosphotransferase 1 [KO:K00994] [EC:2.7.8.2]"
