"Phenotype","Pathway_ID","Pathway_Name"
"cancer","hsa05200","Pathways in cancer - Homo sapiens (human)"
"cancer","hsa05202","Transcriptional misregulation in cancer - Homo sapiens (human)"
"cancer","hsa05205","Proteoglycans in cancer - Homo sapiens (human)"
"cancer","hsa05206","MicroRNAs in cancer - Homo sapiens (human)"
"cancer","hsa05210","Colorectal cancer - Homo sapiens (human)"
"cancer","hsa05212","Pancreatic cancer - Homo sapiens (human)"
"cancer","hsa05213","Endometrial cancer - Homo sapiens (human)"
"cancer","hsa05215","Prostate cancer - Homo sapiens (human)"
"cancer","hsa05216","Thyroid cancer - Homo sapiens (human)"
"cancer","hsa05219","Bladder cancer - Homo sapiens (human)"
"cancer","hsa05222","Small cell lung cancer - Homo sapiens (human)"
"cancer","hsa05223","Non-small cell lung cancer - Homo sapiens (human)"
"cancer","hsa05224","Breast cancer - Homo sapiens (human)"
"cancer","hsa05226","Gastric cancer - Homo sapiens (human)"
"cancer","hsa05230","Central carbon metabolism in cancer - Homo sapiens (human)"
"cancer","hsa05231","Choline metabolism in cancer - Homo sapiens (human)"
"cancer","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer - Homo sapiens (human)"
