"Gene_Symbol","Gene_Name","MIM_Number","Entry_Title","Search_Term","Phenotype_Map","Inheritance","Entrez_GeneIDs","Ensembl_IDs","Source"
"A81","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ABCB1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ABCG2","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACID","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACID","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACID","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACID-INDUCIBLE","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACID-INDUCIBLE","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACID-TYPE","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACTIN","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACTIN-DEPENDENT","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACTIVATING","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACUTE","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACVR1B","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACVR1B","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACVR1B","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ACVR1B","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AD3","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ADDICTION","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ADENOMA","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ADENOMATOUS","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ADENOMATOUS","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ADH1B","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ADH1C","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ADH1C","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ADP","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AGAINST","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AGL","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AKAP9","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AKT1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AKT1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AKT1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"AKT1","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ALCOHOL","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"ALDOA","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
