"Gene","TargetID","GeneName","Score"
"BRCA2","ENSG00000139618","BRCA2 DNA repair associated",0.940284575197792
"MSH2","ENSG00000095002","mutS homolog 2",0.930430972999706
"BRCA1","ENSG00000012048","BRCA1 DNA repair associated",0.930023173328939
"TP53","ENSG00000141510","tumor protein p53",0.929906875344957
"RET","ENSG00000165731","ret proto-oncogene",0.928680346452335
"MSH6","ENSG00000116062","mutS homolog 6",0.928084078522486
"RB1","ENSG00000139687","RB transcriptional corepressor 1",0.92738395649102
"KRAS","ENSG00000133703","KRAS proto-oncogene, GTPase",0.926963595132486
"EGFR","ENSG00000146648","epidermal growth factor receptor",0.92657767248465
"MET","ENSG00000105976","MET proto-oncogene, receptor tyrosine kinase",0.925652976103093
"PIK3CA","ENSG00000121879","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",0.922936465832916
"ERBB2","ENSG00000141736","erb-b2 receptor tyrosine kinase 2",0.922563854218615
"BRAF","ENSG00000157764","B-Raf proto-oncogene, serine/threonine kinase",0.922219952632708
"MLH1","ENSG00000076242","mutL homolog 1",0.921416235216722
"ATM","ENSG00000149311","ATM serine/threonine kinase",0.919792075469813
"CDKN2A","ENSG00000147889","cyclin dependent kinase inhibitor 2A",0.916097201966726
"FGFR2","ENSG00000066468","fibroblast growth factor receptor 2",0.915814640267714
"FGFR3","ENSG00000068078","fibroblast growth factor receptor 3",0.915339223654155
"JAK2","ENSG00000096968","Janus kinase 2",0.913051541138592
"NRAS","ENSG00000213281","NRAS proto-oncogene, GTPase",0.911265206857852
"CHEK2","ENSG00000183765","checkpoint kinase 2",0.909597113616335
"PTEN","ENSG00000171862","phosphatase and tensin homolog",0.908319052253875
"APC","ENSG00000134982","APC regulator of Wnt signaling pathway",0.908274183774234
"DNMT3A","ENSG00000119772","DNA methyltransferase 3 alpha",0.907286147652342
"PALB2","ENSG00000083093","partner and localizer of BRCA2",0.907117692405135
"HRAS","ENSG00000174775","HRas proto-oncogene, GTPase",0.905697668318534
"NF1","ENSG00000196712","neurofibromin 1",0.905377817100781
