"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"TP53","7157",44,"15878142;19092773;19214744;20482849;21347779;21875255;22065914;22880004;22941188;23000897;23091298;23171949;23700467;24670651;25275298;25278450;25551281;25631445;25719666;25979483;26099527;28198679;28235956;28638988;29126202;29360550;29408647;31395065;31991614;32857918;33319857;33419800;33731882;34167951;34302033;35079034;35180847;35545680;35550340;35681111;35702826;36804482;39126824;40038097","cancer","PubMed+PubTator3"
"BRCA1","672;449497",25,"12100744;14987381;16438707;18679828;18694767;19092773;19214744;20352487;21875255;22684231;23787073;24312913;25719666;27135926;27386569;29360550;32629901;32920123;34146199;35226219;35396271;35681111;36804482;38098088;39126824","cancer","PubMed+PubTator3"
"BRCA2","675",25,"12100744;14987381;18694767;19092773;19214744;20352487;21875255;22684231;23171949;24312913;25719666;27135926;29126202;29360550;29566657;31174203;32629901;32920123;34146199;35226219;35396271;35681111;36804482;38098088;39126824","cancer","PubMed+PubTator3"
"KRAS","3845",19,"21347779;22980976;23171949;23700467;24793120;25278450;25487540;27628192;28339086;28986391;29360550;32374727;33319857;34041865;34302033;35180847;35550340;36116415;39799269","cancer","PubMed+PubTator3"
"PTEN","5728",15,"19092773;21169372;22300766;22941188;23171949;23695551;25275298;27628192;28039579;28188128;28339086;32374727;35226219;36108240;36804482","cancer","PubMed+PubTator3"
"p53","7157;22059",14,"10101803;15355915;22321013;22880004;26168291;27461342;27671336;28177904;30232418;33419800;35079034;35545680;8945609;9575425","cancer","PubMed+PubTator3"
"PIK3CA","5290",13,"23000897;24670651;25275298;25631445;25719666;27628192;28039579;30728399;31099622;31395065;32079541;34041865;35681111","cancer","PubMed+PubTator3"
"EGFR","1956",12,"16857815;23000897;28223168;30728399;32374727;33419800;34167951;35550340;35702826;36240473;39126824;41168822","cancer","PubMed+PubTator3"
"MYC","4609",12,"22300766;23091298;23925245;25581428;25819079;25934800;26743005;28683746;28719033;28886127;28986391;30446580","cancer","PubMed+PubTator3"
"ERBB2","2064;13866",11,"23302999;25719666;28683746;28719033;30243646;30653567;30728399;34839022;38862995;39067134;39126824","cancer","PubMed+PubTator3"
