"PMID","Gene","Entrez_ID","Evidence_Text","Source","Title","Journal","Year"
"10101803","p53","7157","Clinical implications of p53: effect on prognosis, tumor progression and chemotherapy response.","PubTator3","Clinical implications of p53: effect on prognosis, tumor progression and chemotherapy response.","Seminars in cancer biology","1998"
"10567493","VHL","7428","The impact of molecular genetic analysis of the VHL gene in patients with haemangioblastomas of the central nervous system.","PubTator3","The impact of molecular genetic analysis of the VHL gene in patients with haemangioblastomas of the central nervous system.","Journal of neurology, neurosurgery, and psychiatry","1999"
"10945556","oncogenes","NA","Squamous cell carcinoma (SCC) of the head and neck remains a major health problem worldwide. Recent advances in cell biology suggest that cancer results from the accumulation of specific genetic mutations, many of which have now been identified. These mutations can cause the activation of genes that promote cellular proliferation or inhibit cell death (oncogenes), or they may inactivate genes that inhibit proliferation or promote cell death (tumour suppressor genes). Although there is no known s","PubTator3","Squamous carcinoma of the head and neck: molecular mechanisms and potential biomarkers.","The Australian and New Zealand journal of surgery","2000"
"11882782","NQO1","1728","NAD(P)H:quinone oxidoreductase (NQO1) polymorphism, exposure to benzene, and predisposition to disease: a HuGE review.","PubTator3","NAD(P)H:quinone oxidoreductase (NQO1) polymorphism, exposure to benzene, and predisposition to disease: a HuGE review.","Genetics in medicine : official journal of the American College of Medical Genetics","2002"
"11882782","CYP2E1","1571","NAD(P)H:quinone oxidoreductase (NQO1) catalyzes the two- or four-electron reduction of numerous endogenous and environmental quinones (e.g., the vitamin E alpha-tocopherol quinone, menadione, benzene quinones). In laboratory animals treated with various environmental chemicals, inhibition of NQO1 metabolism has long been known to increase the risk of toxicity or cancer. Currently, there are 22 reported single-nucleotide polymorphisms (SNPs) in the NQO1 gene. Compared with the human consensus (re","PubTator3","NAD(P)H:quinone oxidoreductase (NQO1) polymorphism, exposure to benzene, and predisposition to disease: a HuGE review.","Genetics in medicine : official journal of the American College of Medical Genetics","2002"
"11882782","myeloperoxidase","4353","NAD(P)H:quinone oxidoreductase (NQO1) catalyzes the two- or four-electron reduction of numerous endogenous and environmental quinones (e.g., the vitamin E alpha-tocopherol quinone, menadione, benzene quinones). In laboratory animals treated with various environmental chemicals, inhibition of NQO1 metabolism has long been known to increase the risk of toxicity or cancer. Currently, there are 22 reported single-nucleotide polymorphisms (SNPs) in the NQO1 gene. Compared with the human consensus (re","PubTator3","NAD(P)H:quinone oxidoreductase (NQO1) polymorphism, exposure to benzene, and predisposition to disease: a HuGE review.","Genetics in medicine : official journal of the American College of Medical Genetics","2002"
"11882782","MPO","4353","NAD(P)H:quinone oxidoreductase (NQO1) catalyzes the two- or four-electron reduction of numerous endogenous and environmental quinones (e.g., the vitamin E alpha-tocopherol quinone, menadione, benzene quinones). In laboratory animals treated with various environmental chemicals, inhibition of NQO1 metabolism has long been known to increase the risk of toxicity or cancer. Currently, there are 22 reported single-nucleotide polymorphisms (SNPs) in the NQO1 gene. Compared with the human consensus (re","PubTator3","NAD(P)H:quinone oxidoreductase (NQO1) polymorphism, exposure to benzene, and predisposition to disease: a HuGE review.","Genetics in medicine : official journal of the American College of Medical Genetics","2002"
"11882782","glutathione-S-transferase","373156","NAD(P)H:quinone oxidoreductase (NQO1) catalyzes the two- or four-electron reduction of numerous endogenous and environmental quinones (e.g., the vitamin E alpha-tocopherol quinone, menadione, benzene quinones). In laboratory animals treated with various environmental chemicals, inhibition of NQO1 metabolism has long been known to increase the risk of toxicity or cancer. Currently, there are 22 reported single-nucleotide polymorphisms (SNPs) in the NQO1 gene. Compared with the human consensus (re","PubTator3","NAD(P)H:quinone oxidoreductase (NQO1) polymorphism, exposure to benzene, and predisposition to disease: a HuGE review.","Genetics in medicine : official journal of the American College of Medical Genetics","2002"
"11882782","GSTM1","2944","NAD(P)H:quinone oxidoreductase (NQO1) catalyzes the two- or four-electron reduction of numerous endogenous and environmental quinones (e.g., the vitamin E alpha-tocopherol quinone, menadione, benzene quinones). In laboratory animals treated with various environmental chemicals, inhibition of NQO1 metabolism has long been known to increase the risk of toxicity or cancer. Currently, there are 22 reported single-nucleotide polymorphisms (SNPs) in the NQO1 gene. Compared with the human consensus (re","PubTator3","NAD(P)H:quinone oxidoreductase (NQO1) polymorphism, exposure to benzene, and predisposition to disease: a HuGE review.","Genetics in medicine : official journal of the American College of Medical Genetics","2002"
"11882782","GSTT1","2952","NAD(P)H:quinone oxidoreductase (NQO1) catalyzes the two- or four-electron reduction of numerous endogenous and environmental quinones (e.g., the vitamin E alpha-tocopherol quinone, menadione, benzene quinones). In laboratory animals treated with various environmental chemicals, inhibition of NQO1 metabolism has long been known to increase the risk of toxicity or cancer. Currently, there are 22 reported single-nucleotide polymorphisms (SNPs) in the NQO1 gene. Compared with the human consensus (re","PubTator3","NAD(P)H:quinone oxidoreductase (NQO1) polymorphism, exposure to benzene, and predisposition to disease: a HuGE review.","Genetics in medicine : official journal of the American College of Medical Genetics","2002"
