"PMID","Title","Journal","Year"
"23000897","Comprehensive molecular portraits of human breast tumours.","Nature","2012"
"28726821","The whole-genome landscape of medulloblastoma subtypes.","Nature","2017"
"22522925","The genomic and transcriptomic architecture of 2,000 breast tumours reveals novel subgroups.","Nature","2012"
"25631445","Comprehensive genomic characterization of head and neck squamous cell carcinomas.","Nature","2015"
"32778778","A compendium of mutational cancer driver genes.","Nature reviews. Cancer","2020"
"19360079","The cancer genome.","Nature","2009"
"26099527","Genetic Landscape and Biomarkers of Hepatocellular Carcinoma.","Gastroenterology","2015"
"29566657","Germline breast cancer susceptibility gene mutations and breast cancer outcomes.","BMC cancer","2018"
"20164920","The landscape of somatic copy-number alteration across human cancers.","Nature","2010"
"35545680","Fundamental immune-oncogenicity trade-offs define driver mutation fitness.","Nature","2022"
"27135926","Landscape of somatic mutations in 560 breast cancer whole-genome sequences.","Nature","2016"
"17344846","Patterns of somatic mutation in human cancer genomes.","Nature","2007"
"25719666","Whole genomes redefine the mutational landscape of pancreatic cancer.","Nature","2015"
"14987381","Breast cancer gene discovery.","Expert reviews in molecular medicine","2002"
"29248888","Genetics and genomics of breast fibroadenomas.","Journal of clinical pathology","2018"
"24670651","Identification of genomic alterations in oesophageal squamous cell cancer.","Nature","2014"
"26462514","[Genes associated to cancer].","Revista medica del Instituto Mexicano del Seguro Social","2015"
"35627162","Inferring Potential Cancer Driving Synonymous Variants.","Genes","2022"
"29360550","Genomic characterization of biliary tract cancers identifies driver genes and predisposing mutations.","Journal of hepatology","2018"
"28498882","Mutational signatures and mutable motifs in cancer genomes.","Briefings in bioinformatics","2018"
"37721477","Neo-Darwinian Principles Exemplified in Cancer Genomics.","Molecular cancer research : MCR","2023"
"23180760","Genomics of Drug Sensitivity in Cancer (GDSC): a resource for therapeutic biomarker discovery in cancer cells.","Nucleic acids research","2013"
"12353948","The genetics of colorectal cancer.","Annals of internal medicine","2002"
"38748784","HiChIP-Based Epigenomic Footprinting Identifies a Promoter Variant of UXS1 That Confers Genetic Susceptibility to Gastroesophageal Cancer.","Cancer research","2024"
"20517688","Genetics and genomics of neuroblastoma.","Cancer treatment and research","2010"
"35655332","Structural Variation in Cancer: Role, Prevalence, and Mechanisms.","Annual review of genomics and human genetics","2022"
"27815544","Functional Genomic Characterization of Cancer Genomes.","Cold Spring Harbor symposia on quantitative biology","2016"
"31991614","Prognosis, Biology, and Targeting of TP53 Dysregulation in Multiple Myeloma.","Cells","2020"
"37550388","Mutational landscape of cancer-driver genes across human cancers.","Scientific reports","2023"
"16857815","Genomic approaches to lung cancer.","Clinical cancer research : an official journal of the American Association for Cancer Research","2006"
"25781572","Genomics in acute lymphoblastic leukaemia: insights and treatment implications.","Nature reviews. Clinical oncology","2015"
"22670605","Patents in the era of genomics: an overview.","Recent patents on DNA & gene sequences","2012"
"12610533","The genetics and genomics of cancer.","Nature genetics","2003"
"19092773","Breast cancer susceptibility: current knowledge and implications for genetic counselling.","European journal of human genetics : EJHG","2009"
"38091511","DriverMP enables improved identification of cancer driver genes.","GigaScience","2022"
"38862995","Mechanism of ERBB2 gene overexpression by the formation of super-enhancer with genomic structural abnormalities in lung adenocarcinoma without clinically actionable genetic alterations.","Molecular cancer","2024"
"25584892","Biological and therapeutic impact of intratumor heterogeneity in cancer evolution.","Cancer cell","2015"
"38200255","Insights for precision oncology from the integration of genomic and clinical data of 13,880 tumors from the 100,000 Genomes Cancer Programme.","Nature medicine","2024"
"35593700","Individualized discovery of rare cancer drivers in global network context.","eLife","2022"
"18692126","Design and analysis issues in genome-wide somatic mutation studies of cancer.","Genomics","2009"
"11678779","Polymorphisms of CYP2A6 and its practical consequences.","British journal of clinical pharmacology","2001"
"29777908","Breast cancer in the GCC countries: A focus on BRCA1/2 and non-BRCA1/2 genes.","Gene","2018"
"29695767","Cutaneous neurofibromas in the genomics era: current understanding and open questions.","British journal of cancer","2018"
"31264434","Evolving Role of Genomics in Genitourinary Neoplasms.","Acta medica academica","2019"
"22534183","Genome sequencing and cancer.","Current opinion in genetics & development","2012"
"25131793","Sequencing approaches in cancer treatment.","Cell proliferation","2014"
"18691651","Functional genomics of cancer.","Current opinion in genetics & development","2008"
"24390350","Discovery and saturation analysis of cancer genes across 21 tumour types.","Nature","2014"
"26323482","Navigating yeast genome maintenance with functional genomics.","Briefings in functional genomics","2016"
"20521217","Functional genomics and cancer drug target discovery.","Current opinion in molecular therapeutics","2010"
"25877891","Personalized genomic analyses for cancer mutation discovery and interpretation.","Science translational medicine","2015"
"29666306","Truncation- and motif-based pan-cancer analysis reveals tumor-suppressing kinases.","Science signaling","2018"
"30872516","The genomic landscape of pediatric cancers: Implications for diagnosis and treatment.","Science (New York, N.Y.)","2019"
"27530686","Exploring cancer genomic data from the cancer genome atlas project.","BMB reports","2016"
"28694034","Insertion-and-deletion-derived tumour-specific neoantigens and the immunogenic phenotype: a pan-cancer analysis.","The Lancet. Oncology","2017"
"35079034","Predicting clinical outcomes of cancer patients with a p53 deficiency gene signature.","Scientific reports","2022"
"18425819","Lung cancer epigenetics and genetics.","International journal of cancer","2008"
"34261517","Haplotype-resolved germline and somatic alterations in renal medullary carcinomas.","Genome medicine","2021"
"27797769","Cancer driver gene discovery through an integrative genomics approach in a non-parametric Bayesian framework.","Bioinformatics (Oxford, England)","2017"
"35512388","Detection of oncogenic and clinically actionable mutations in cancer genomes critically depends on variant calling tools.","Bioinformatics (Oxford, England)","2022"
"28957656","Network-Based Coverage of Mutational Profiles Reveals Cancer Genes.","Cell systems","2017"
"40554679","Integrated functional genomics-identified DEAF1 in oxidative stress and hepatocellular carcinoma development.","Carcinogenesis","2025"
"36812239","Long-read sequencing identifies novel structural variations in colorectal cancer.","PLoS genetics","2023"
"37904244","MGA-seq: robust identification of extrachromosomal DNA and genetic variants using multiple genetic abnormality sequencing.","Genome biology","2023"
"22904074","Functional impact bias reveals cancer drivers.","Nucleic acids research","2012"
"32472759","Beyond the coding genome: non-coding mutations and cancer.","Frontiers in bioscience (Landmark edition)","2020"
"36717859","Pan-cancer onco-signatures reveal a novel mitochondrial subtype of luminal breast cancer with specific regulators.","Journal of translational medicine","2023"
"32641106","The MLH1 polymorphism rs1800734 and risk of endometrial cancer with microsatellite instability.","Clinical epigenetics","2020"
"29106416","Bayesian inference of negative and positive selection in human cancers.","Nature genetics","2017"
"26519468","ccmGDB: a database for cancer cell metabolism genes.","Nucleic acids research","2016"
"33419800","Genomic Sequencing of Cancer-related Genes in Sinonasal Squamous Cell Carcinoma and Coexisting Inverted Papilloma.","Anticancer research","2021"
"17134962","Finding genes that underlie cancer using genetic tools.","Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico","2006"
"35099519","GenomeTornadoPlot: a novel R package for CNV visualization and focality analysis.","Bioinformatics (Oxford, England)","2022"
"34302033","Genomic alterations and possible druggable mutations in carcinoma of unknown primary (CUP).","Scientific reports","2021"
"21115419","[Gene polymorphisms].","Bulletin du cancer","2010"
"16438707","Comparative analysis of cancer genes in the human and chimpanzee genomes.","BMC genomics","2006"
"25232094","Human germline and pan-cancer variomes and their distinct functional profiles.","Nucleic acids research","2014"
"21370076","Database resources for proteomics-based analysis of cancer.","Methods in molecular biology (Clifton, N.J.)","2011"
"28147217","CCG: an integrative resource of cancer protein-coding genes and long noncoding RNAs.","Discovery medicine","2016"
"32573269","Multi-omics analysis to identify driving factors in colorectal cancer.","Epigenomics","2020"
"30864654","Haplotype-resolved and integrated genome analysis of the cancer cell line HepG2.","Nucleic acids research","2019"
"32124310","Ensemble-Based Somatic Mutation Calling in Cancer Genomes.","Methods in molecular biology (Clifton, N.J.)","2020"
