"Gene","Gene_Name","Entrez_ID","Pathway_ID","Pathway_Name","Source","Phenotype"
"NRG3","neuregulin 3","10718","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"CDC37","cell division cycle 37, HSP90 cochaperone","11140","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"NRG4","neuregulin 4","145957","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"HBEGF","heparin binding EGF like growth factor","1839","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"EGF","epidermal growth factor","1950","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"EGFR","epidermal growth factor receptor","1956","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"ERBB2","erb-b2 receptor tyrosine kinase 2","2064","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"ERBB3","erb-b2 receptor tyrosine kinase 3","2065","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"ERBB4","erb-b2 receptor tyrosine kinase 4","2066","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"EREG","epiregulin","2069","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"GAB1","GRB2 associated binding protein 1","2549","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"GRB2","growth factor receptor bound protein 2","2885","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"NRG1","neuregulin 1","3084","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"HRAS","HRas proto-oncogene, GTPase","3265","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"HSP90AA1","heat shock protein 90 alpha family class A member 1","3320","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"KRAS","KRAS proto-oncogene, GTPase","3845","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"NRAS","NRAS proto-oncogene, GTPase","4893","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"PIK3CA","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","5290","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"PIK3R1","phosphoinositide-3-kinase regulatory subunit 1","5295","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"PLCG1","phospholipase C gamma 1","5335","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"ERBIN","erbb2 interacting protein","55914","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"PTPN12","protein tyrosine phosphatase non-receptor type 12","5782","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"SHC1","SHC adaptor protein 1","6464","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1","6654","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"BTC","betacellulin","685","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"NRG2","neuregulin 2","9542","R-HSA-1227990","Homo sapiens: Signaling by ERBB2 in Cancer","Reactome_Pathways","cancer"
"RPS27A","ribosomal protein S27a","6233","R-HSA-1236382","Homo sapiens: Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","Reactome_Pathways","cancer"
"UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1","7311","R-HSA-1236382","Homo sapiens: Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","Reactome_Pathways","cancer"
"UBB","ubiquitin B","7314","R-HSA-1236382","Homo sapiens: Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","Reactome_Pathways","cancer"
"UBC","ubiquitin C","7316","R-HSA-1236382","Homo sapiens: Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","Reactome_Pathways","cancer"
"CBL","Cbl proto-oncogene","867","R-HSA-1236382","Homo sapiens: Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants","Reactome_Pathways","cancer"
"EPGN","epithelial mitogen","255324","R-HSA-1643713","Homo sapiens: Signaling by EGFR in Cancer","Reactome_Pathways","cancer"
"AREG","amphiregulin","374","R-HSA-1643713","Homo sapiens: Signaling by EGFR in Cancer","Reactome_Pathways","cancer"
"TGFA","transforming growth factor alpha","7039","R-HSA-1643713","Homo sapiens: Signaling by EGFR in Cancer","Reactome_Pathways","cancer"
"AKT3","AKT serine/threonine kinase 3","10000","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"CDKN1A","cyclin dependent kinase inhibitor 1A","1026","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"CDKN1B","cyclin dependent kinase inhibitor 1B","1027","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"FRS2","fibroblast growth factor receptor substrate 2","10818","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"CHUK","component of inhibitor of nuclear factor kappa B kinase complex","1147","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"PIK3AP1","phosphoinositide-3-kinase adaptor protein 1","118788","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"CREB1","cAMP responsive element binding protein 1","1385","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"KLB","klotho beta","152831","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"AKT1","AKT serine/threonine kinase 1","207","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"AKT2","AKT serine/threonine kinase 2","208","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"ESR1","estrogen receptor 1","2099","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"ESR2","estrogen receptor 2","2100","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"FGF1","fibroblast growth factor 1","2246","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"FGF2","fibroblast growth factor 2","2247","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"FGF3","fibroblast growth factor 3","2248","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"FGF4","fibroblast growth factor 4","2249","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
"FGF5","fibroblast growth factor 5","2250","R-HSA-2219528","Homo sapiens: PI3K/AKT Signaling in Cancer","Reactome_Pathways","cancer"
