"Gene","Seed_Gene","Interaction_Score","STRING_ID","Source"
"SEC24C","TM9SF4",0.787,"9606.ENSP00000343405","STRING"
"PLAGL2","TM9SF4",0.717,"9606.ENSP00000246229","STRING"
"RBBP8NL","TM9SF4",0.69,"9606.ENSP00000252998","STRING"
"POFUT1","TM9SF4",0.687,"9606.ENSP00000364902","STRING"
"GPR107","TM9SF4",0.646,"9606.ENSP00000361483","STRING"
"LMAN2","TM9SF4",0.633,"9606.ENSP00000303366","STRING"
"F3","TM9SF4",0.592,"9606.ENSP00000334145","STRING"
"KIF3B","TM9SF4",0.584,"9606.ENSP00000364864","STRING"
"TMED2","TM9SF4",0.542,"9606.ENSP00000262225","STRING"
"COPG1","TM9SF4",0.533,"9606.ENSP00000325002","STRING"
"SEC16A","TM9SF4",0.526,"9606.ENSP00000325827","STRING"
"SOX15","TM9SF4",0.502,"9606.ENSP00000355354","STRING"
"HCK","TM9SF4",0.498,"9606.ENSP00000365012","STRING"
"C10orf71","TM9SF4",0.498,"9606.ENSP00000363259","STRING"
"HECTD3","TM9SF4",0.497,"9606.ENSP00000361245","STRING"
"RCHY1","TM9SF4",0.493,"9606.ENSP00000321239","STRING"
"DDX27","TM9SF4",0.48,"9606.ENSP00000483495","STRING"
"ENC1","TM9SF4",0.472,"9606.ENSP00000499185","STRING"
"RAB5A","TM9SF4",0.461,"9606.ENSP00000273047","STRING"
"CABCOCO1","TM9SF4",0.461,"9606.ENSP00000328698","STRING"
"RAB1A","TM9SF4",0.458,"9606.ENSP00000387286","STRING"
"ANO8","TM9SF4",0.444,"9606.ENSP00000159087","STRING"
"CMTR1","TM9SF4",0.441,"9606.ENSP00000362550","STRING"
"PI4KB","TM9SF4",0.436,"9606.ENSP00000357869","STRING"
"NOL4L","TM9SF4",0.434,"9606.ENSP00000483523","STRING"
"TRPC4AP","TM9SF4",0.43,"9606.ENSP00000252015","STRING"
"ARCN1","TM9SF4",0.428,"9606.ENSP00000264028","STRING"
"TMEM165","TM9SF4",0.421,"9606.ENSP00000370736","STRING"
"PDPN","TM9SF4",0.42,"9606.ENSP00000294489","STRING"
"IER5L","TM9SF4",0.414,"9606.ENSP00000361569","STRING"
"TMED10","TM9SF4",0.414,"9606.ENSP00000303145","STRING"
"RPN2","TM9SF4",0.409,"9606.ENSP00000237530","STRING"
"SPTLC1","TM9SF4",0.403,"9606.ENSP00000262554","STRING"
"TMED7","TM9SF4",0.402,"9606.ENSP00000405926","STRING"
