"Gene","UniProt_ID","Protein_Name","Source","Query_Type"
"12LO","P18054","Polyunsaturated fatty acid lipoxygenase ALOX12","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AAG2","P50502","Hsc70-interacting protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AARS","P49588","Alanine--tRNA ligase, cytoplasmic","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AARS1","P49588","Alanine--tRNA ligase, cytoplasmic","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ABC2","Q8ND04","Nonsense-mediated mRNA decay factor SMG8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ABCG2","Q9UNQ0","Broad substrate specificity ATP-binding cassette transporter ABCG2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ABCP","Q9UNQ0","Broad substrate specificity ATP-binding cassette transporter ABCG2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ABH3","Q96Q83","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ABPL","Q14315","Filamin-C","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ABRA1","Q6UWZ7","BRCA1-A complex subunit Abraxas 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ABRAXAS1","Q6UWZ7","BRCA1-A complex subunit Abraxas 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ABS","Q9UJV9","Probable ATP-dependent RNA helicase DDX41","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ACTL8","Q9H568","Actin-like protein 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ACTRT1","Q8TDG2","Actin-related protein T1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ADAM2","Q99965","Disintegrin and metalloproteinase domain-containing protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ADAM29","Q9UKF5","Disintegrin and metalloproteinase domain-containing protein 29","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ADCP2","P27487","Dipeptidyl peptidase 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ADHR","P30518","Vasopressin V2 receptor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ADPN","Q9NST1","1-acylglycerol-3-phosphate O-acyltransferase PNPLA3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ADPRHL2","Q9NX46","ADP-ribosylhydrolase ARH3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ADPRS","Q9NX46","ADP-ribosylhydrolase ARH3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AF9Q34","Q5VWQ8","Disabled homolog 2-interacting protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AFAP","Q8N556","Actin filament-associated protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AFAP1","Q8N556","Actin filament-associated protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AGR3","Q8TD06","Anterior gradient protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AIB3","Q14686","Nuclear receptor coactivator 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AIBC1","O75363","Breast carcinoma-amplified sequence 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AIE75","Q9Y6N9","Harmonin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AIEBP","Q8N6Y0","Harmonin-binding protein USHBP1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AIK2","Q96GD4","Aurora kinase B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AIM1","Q96GD4","Aurora kinase B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AIM2","O14862","Interferon-inducible protein AIM2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AIP1","Q5VWQ8","Disabled homolog 2-interacting protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AIPC","O15018","PDZ domain-containing protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"AIRK2","Q96GD4","Aurora kinase B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
