"Gene","Tissue_Count","Best_QValue","Best_Empirical_PValue","Best_PValue","Mean_Abs_Log2_AFC","Example_Tissues","Gencode_ID","Phenotype","Selected_Tissues"
"DDX11",7,1.6229e-264,2.81428e-268,4.63449e-299,2.14214342857143,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000013573.16","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"ZNF266",7,2.46e-234,8.5318e-238,1.41296e-255,1.10752128571429,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000174652.17","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"PSMD5-AS1",7,6.39647e-233,3.35479e-236,3.28138e-263,2.21367814285714,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000226752.9","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"XRRA1",7,9.00182e-228,4.68303e-231,3.73282e-258,1.76121471428571,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000166435.15","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"GABPB1-AS1",7,2.36044e-225,1.6373e-228,1.2152e-254,1.53095685714286,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000244879.6","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"RPS26",7,4.04926e-224,3.51092e-227,3.42714e-251,2.18038214285714,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000197728.9","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"ERAP2",7,1.46824e-217,1.28343e-220,3.74684e-249,2.70980057142857,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000164308.16","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"LINC01291",7,3.44651e-201,5.37894e-204,4.67414e-229,6.49098028571429,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000204792.2","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"CPSF1",7,3.60367e-199,6.87406e-202,1.47475e-223,1.01649928571429,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000071894.16","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"CCDC163",7,4.37518e-192,9.86313e-195,6.83512e-217,2.33390042857143,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000280670.2","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"FAM118A",7,1.1151e-174,3.704e-177,2.44124e-196,2.638706,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000100376.11","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"CMB9-55F22.1",7,4.71583e-174,1.22666e-176,2.32012e-193,1.54863157142857,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000279672.1","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"AP000350.5",7,1.05615e-169,3.11352e-172,5.94941e-186,6.23379814285714,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000273295.1","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"LRRC37A4P",7,4.97324e-169,1.99973e-171,6.18665e-195,5.165281,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000214425.7","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"PSPHP1",7,1.50891e-168,4.70988e-171,1.91715e-205,5.58630971428571,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000226278.1","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"MAN2C1",7,1.90147e-164,8.64306e-167,5.20569e-190,0.628674571428571,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000140400.16","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"RP11-526I2.5",7,1.74002e-160,6.63824e-163,5.8891e-180,2.51741242857143,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000270127.2","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"FLYWCH1",7,2.35823e-159,1.31929e-161,1.72989e-179,1.05036528571429,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000059122.16","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"DDX11L2",7,5.98065e-158,3.8686e-160,9.16565e-179,2.84620728571429,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000236397.3","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"MAPK8IP1P2",7,4.07673e-148,3.42103e-150,9.09254e-179,6.17713014285714,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000263503.1","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"KANSL1-AS1",7,1.03076e-145,9.19034e-148,6.32141e-170,2.50350657142857,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000214401.4","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"MIF-AS1",7,1.99502e-142,1.72979e-144,6.56614e-160,3.41483028571429,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000218537.1","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"RP11-259G18.3",7,3.04273e-138,3.35126e-140,3.41715e-166,6.29999671428571,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000262539.1","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"RHD",7,1.47781e-136,1.70517e-138,7.51916e-155,4.68201314285714,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000187010.19","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"PPIE",7,4.65524e-136,1.24166e-138,2.76125e-154,0.813652857142857,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000084072.16","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"AC091729.9",7,5.74926e-133,7.17827e-135,1.41063e-148,1.28607928571429,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000229043.2","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"SLC35E2B",7,9.11994e-133,1.15449e-134,2.95416e-147,1.026797,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000189339.11","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"C21orf33",7,3.0425e-128,4.62758e-130,1.28899e-144,5.58791714285714,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000160221.16","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"AC068282.3",7,4.82049e-125,7.92179e-127,2.83704e-142,4.72713728571429,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000236682.1","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"RP11-22B23.1",7,1.07555e-120,1.95838e-122,8.7815e-137,2.22874885714286,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000111788.10","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"HLA-DRB5",7,1.53464e-120,2.8209e-122,4.39462e-145,2.81196471428571,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000198502.5","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"TOP3BP1",7,4.05669e-118,7.73041e-120,4.44953e-133,3.59776657142857,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid;Whole_Blood","ENSG00000228050.1","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"CHURC1",6,4.26523e-239,7.45669e-243,7.72767e-278,0.742192333333333,"Liver;Lung;Ovary;Pituitary;Thyroid;Whole_Blood","ENSG00000258289.8","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
"C2orf74",6,3.75902e-219,3.91112e-222,2.77465e-253,1.163708,"Liver;Lung;Ovary;Pituitary;Stomach;Thyroid","ENSG00000237651.6","migraine","Pituitary (count=392); Liver (count=312); Thyroid (count=179); Lung (count=111); Bladder (count=95); Stomach (count=94); Ovary (count=48); Whole_Blood (count=46)"
