"Gene","HPO_ID","HPO_Term","Gene_ID","HPO_Term_Lower","Source","Match_Pattern"
"ACSF3","HP:0002076","Migraine","197322","migraine","HPO_Term_Exact","migraine"
"ACVRL1","HP:0002076","Migraine","94","migraine","HPO_Term_Exact","migraine"
"ADA2","HP:0002076","Migraine","51816","migraine","HPO_Term_Exact","migraine"
"ADAMTS3","HP:0002076","Migraine","9508","migraine","HPO_Term_Exact","migraine"
"ADAMTSL1","HP:0002076","Migraine","92949","migraine","HPO_Term_Exact","migraine"
"AIP","HP:0002076","Migraine","9049","migraine","HPO_Term_Exact","migraine"
"ALPK1","HP:0002076","Migraine","80216","migraine","HPO_Term_Exact","migraine"
"AMACR","HP:0002076","Migraine","23600","migraine","HPO_Term_Exact","migraine"
"ANO1","HP:0002076","Migraine","55107","migraine","HPO_Term_Exact","migraine"
"APP","HP:0002076","Migraine","351","migraine","HPO_Term_Exact","migraine"
"ATM","HP:0002076","Migraine","472","migraine","HPO_Term_Exact","migraine"
"ATP1A2","HP:0002076","Migraine","477","migraine","HPO_Term_Exact","migraine"
"BMPR1A","HP:0002076","Migraine","657","migraine","HPO_Term_Exact","migraine"
"BRCA2","HP:0002076","Migraine","675","migraine","HPO_Term_Exact","migraine"
"C4A","HP:0002076","Migraine","720","migraine","HPO_Term_Exact","migraine"
"CACNA1A","HP:0002076","Migraine","773","migraine","HPO_Term_Exact","migraine"
"CALR","HP:0002076","Migraine","811","migraine","HPO_Term_Exact","migraine"
"CCR1","HP:0002076","Migraine","1230","migraine","HPO_Term_Exact","migraine"
"CHEK2","HP:0002076","Migraine","11200","migraine","HPO_Term_Exact","migraine"
"CLTRN","HP:0002076","Migraine","57393","migraine","HPO_Term_Exact","migraine"
"COL3A1","HP:0002076","Migraine","1281","migraine","HPO_Term_Exact","migraine"
"COL4A1","HP:0002076","Migraine","1282","migraine","HPO_Term_Exact","migraine"
"COL5A1","HP:0002076","Migraine","1289","migraine","HPO_Term_Exact","migraine"
"COPB1","HP:0002076","Migraine","1315","migraine","HPO_Term_Exact","migraine"
"CSNK1D","HP:0002076","Migraine","1453","migraine","HPO_Term_Exact","migraine"
"CST3","HP:0002076","Migraine","1471","migraine","HPO_Term_Exact","migraine"
"CTSA","HP:0002076","Migraine","5476","migraine","HPO_Term_Exact","migraine"
"CTSH","HP:0002076","Migraine","1512","migraine","HPO_Term_Exact","migraine"
"DNM1L","HP:0002076","Migraine","10059","migraine","HPO_Term_Exact","migraine"
"ENG","HP:0002076","Migraine","2022","migraine","HPO_Term_Exact","migraine"
"EPCAM","HP:0002076","Migraine","4072","migraine","HPO_Term_Exact","migraine"
"ERAP1","HP:0002076","Migraine","51752","migraine","HPO_Term_Exact","migraine"
"FAS","HP:0002076","Migraine","355","migraine","HPO_Term_Exact","migraine"
"FGFR2","HP:0002076","Migraine","2263","migraine","HPO_Term_Exact","migraine"
"FGFR3","HP:0002076","Migraine","2261","migraine","HPO_Term_Exact","migraine"
"FRMD5","HP:0002076","Migraine","84978","migraine","HPO_Term_Exact","migraine"
"GABRG2","HP:0002076","Migraine","2566","migraine","HPO_Term_Exact","migraine"
"GATA2","HP:0002076","Migraine","2624","migraine","HPO_Term_Exact","migraine"
"GDF2","HP:0002076","Migraine","2658","migraine","HPO_Term_Exact","migraine"
"GP1BA","HP:0002076","Migraine","2811","migraine","HPO_Term_Exact","migraine"
"GP1BB","HP:0002076","Migraine","2812","migraine","HPO_Term_Exact","migraine"
"GP9","HP:0002076","Migraine","2815","migraine","HPO_Term_Exact","migraine"
"GPR101","HP:0002076","Migraine","83550","migraine","HPO_Term_Exact","migraine"
"GRIN2A","HP:0002076","Migraine","2903","migraine","HPO_Term_Exact","migraine"
"HCRT","HP:0002076","Migraine","3060","migraine","HPO_Term_Exact","migraine"
"HLA-B","HP:0002076","Migraine","3106","migraine","HPO_Term_Exact","migraine"
"HLA-DQB1","HP:0002076","Migraine","3119","migraine","HPO_Term_Exact","migraine"
"HLA-DRB1","HP:0002076","Migraine","3123","migraine","HPO_Term_Exact","migraine"
"HTR1A","HP:0002076","Migraine","3350","migraine","HPO_Term_Exact","migraine"
"IFNGR1","HP:0002076","Migraine","3459","migraine","HPO_Term_Exact","migraine"
"IL10","HP:0002076","Migraine","3586","migraine","HPO_Term_Exact","migraine"
"IL12A","HP:0002076","Migraine","3592","migraine","HPO_Term_Exact","migraine"
"IL12A-AS1","HP:0002076","Migraine","101928376","migraine","HPO_Term_Exact","migraine"
"IL12B","HP:0002076","Migraine","3593","migraine","HPO_Term_Exact","migraine"
"IL23R","HP:0002076","Migraine","149233","migraine","HPO_Term_Exact","migraine"
"JAG1","HP:0002076","Migraine","182","migraine","HPO_Term_Exact","migraine"
"JAK2","HP:0002076","Migraine","3717","migraine","HPO_Term_Exact","migraine"
"JPH1","HP:0002076","Migraine","56704","migraine","HPO_Term_Exact","migraine"
