"Gene_Symbol","Gene_Name","MIM_Number","Entry_Title","Search_Term","Phenotype_Map","Inheritance","Entrez_GeneIDs","Ensembl_IDs","Source"
"AARS1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AARS1","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AARS2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AARS2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ACE","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ACID","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ACTA2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ACTIVITY","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ACTL6B","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ACTL6B","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ACVRL1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ACVRL1","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ADAM22","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ADAM22","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ADLDWA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ADLDWA","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ADULT","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ADULT","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ADULT-ONSET","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ADULT-ONSET","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ADVANCED","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AFFECTIVE","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AFFECTIVE","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AFFECTIVE","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AFFINITY","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AFG3L2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AFG3L2","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AFG3L2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AGK","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AHC1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AHC1","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AHC1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AHC2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AIFM1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AIFM1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AKINESIA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"AKINESIA","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ALG13","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ALG13","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"ALPHA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
