"Gene","TargetID","GeneName","Score"
"SCN1A","ENSG00000144285","sodium voltage-gated channel alpha subunit 1",0.867638020562241
"ATP1A2","ENSG00000018625","ATPase Na+/K+ transporting subunit alpha 2",0.855819389040732
"CACNA1A","ENSG00000141837","calcium voltage-gated channel subunit alpha1 A",0.842666049799459
"CALCA","ENSG00000110680","calcitonin related polypeptide alpha",0.726348503803854
"CALCB","ENSG00000175868","calcitonin related polypeptide beta",0.67164424796496
"PTGS2","ENSG00000073756","prostaglandin-endoperoxide synthase 2",0.630494905298849
"TRPV1","ENSG00000196689","transient receptor potential cation channel subfamily V member 1",0.626933320080574
"SCN5A","ENSG00000183873","sodium voltage-gated channel alpha subunit 5",0.625296145433314
"HTR1B","ENSG00000135312","5-hydroxytryptamine receptor 1B",0.619720219849528
"GABRP","ENSG00000094755","gamma-aminobutyric acid type A receptor subunit pi",0.619185696026702
"FAAH","ENSG00000117480","fatty acid amide hydrolase",0.614984643922611
"GRIA1","ENSG00000155511","glutamate ionotropic receptor AMPA type subunit 1",0.613582553486146
"PTGS1","ENSG00000095303","prostaglandin-endoperoxide synthase 1",0.611822651232036
"GABRE","ENSG00000102287","gamma-aminobutyric acid type A receptor subunit epsilon",0.61108679322608
"GABRQ","ENSG00000268089","gamma-aminobutyric acid type A receptor subunit theta",0.610744620734598
"ADORA2A","ENSG00000128271","adenosine A2a receptor",0.609185226792373
"HTR1D","ENSG00000179546","5-hydroxytryptamine receptor 1D",0.609078268355063
"GABRG2","ENSG00000113327","gamma-aminobutyric acid type A receptor subunit gamma2",0.609053077414606
"GABRA3","ENSG00000011677","gamma-aminobutyric acid type A receptor subunit alpha3",0.608791291684205
"GABRA4","ENSG00000109158","gamma-aminobutyric acid type A receptor subunit alpha4",0.608775892523593
"ADORA1","ENSG00000163485","adenosine A1 receptor",0.607735481662648
"CALCRL","ENSG00000064989","calcitonin receptor like receptor",0.607230857983602
"ADRB2","ENSG00000169252","adrenoceptor beta 2",0.60645127089431
"GABRA1","ENSG00000022355","gamma-aminobutyric acid type A receptor subunit alpha1",0.606373623468142
"GABRB3","ENSG00000166206","gamma-aminobutyric acid type A receptor subunit beta3",0.606327425986307
"GABRB2","ENSG00000145864","gamma-aminobutyric acid type A receptor subunit beta2",0.6061888335408
"ADORA2B","ENSG00000170425","adenosine A2b receptor",0.606049273575649
"GABRB1","ENSG00000163288","gamma-aminobutyric acid type A receptor subunit beta1",0.60544967383143
"GABRA5","ENSG00000186297","gamma-aminobutyric acid type A receptor subunit alpha5",0.60544967383143
"GABRA6","ENSG00000145863","gamma-aminobutyric acid type A receptor subunit alpha6",0.60544967383143
"GABRA2","ENSG00000151834","gamma-aminobutyric acid type A receptor subunit alpha2",0.60544967383143
"GABRD","ENSG00000187730","gamma-aminobutyric acid type A receptor subunit delta",0.60544967383143
"GABRG3","ENSG00000182256","gamma-aminobutyric acid type A receptor subunit gamma3",0.60544967383143
"GABRG1","ENSG00000163285","gamma-aminobutyric acid type A receptor subunit gamma1",0.60544967383143
"ADORA3","ENSG00000282608","adenosine A3 receptor",0.605248517223832
"SCN8A","ENSG00000196876","sodium voltage-gated channel alpha subunit 8",0.605228330044468
"SCN10A","ENSG00000185313","sodium voltage-gated channel alpha subunit 10",0.602678781985258
"ADRB1","ENSG00000043591","adrenoceptor beta 1",0.602509242911965
"SCN2A","ENSG00000136531","sodium voltage-gated channel alpha subunit 2",0.601892070238258
"ADRA2B","ENSG00000274286","adrenoceptor alpha 2B",0.601224704523632
"SCN7A","ENSG00000136546","sodium voltage-gated channel alpha subunit 7",0.599999288134238
"GRIK2","ENSG00000164418","glutamate ionotropic receptor kainate type subunit 2",0.59974997548177
"GRIA3","ENSG00000125675","glutamate ionotropic receptor AMPA type subunit 3",0.599637706871423
"OPRM1","ENSG00000112038","opioid receptor mu 1",0.59869633130576
"SCN11A","ENSG00000168356","sodium voltage-gated channel alpha subunit 11",0.598556104302273
"HTR1F","ENSG00000179097","5-hydroxytryptamine receptor 1F",0.597735083243697
"SCN9A","ENSG00000169432","sodium voltage-gated channel alpha subunit 9",0.597611200757948
"OPRD1","ENSG00000116329","opioid receptor delta 1",0.596950833025955
"OPRK1","ENSG00000082556","opioid receptor kappa 1",0.596871895079453
"GRIK1","ENSG00000171189","glutamate ionotropic receptor kainate type subunit 1",0.595741419982896
"GRIA2","ENSG00000120251","glutamate ionotropic receptor AMPA type subunit 2",0.595737262114014
"SCN3A","ENSG00000153253","sodium voltage-gated channel alpha subunit 3",0.595702380773006
"GRIA4","ENSG00000152578","glutamate ionotropic receptor AMPA type subunit 4",0.595488309017455
"CA2","ENSG00000104267","carbonic anhydrase 2",0.595412375588667
"SCN4A","ENSG00000007314","sodium voltage-gated channel alpha subunit 4",0.595376888567242
"GRIK5","ENSG00000105737","glutamate ionotropic receptor kainate type subunit 5",0.594391067588841
"GRIK4","ENSG00000149403","glutamate ionotropic receptor kainate type subunit 4",0.59346711795213
"GRIK3","ENSG00000163873","glutamate ionotropic receptor kainate type subunit 3",0.59346711795213
"CA4","ENSG00000167434","carbonic anhydrase 4",0.593338621959603
"ADRA2C","ENSG00000184160","adrenoceptor alpha 2C",0.576697566892656
"ADRA2A","ENSG00000150594","adrenoceptor alpha 2A",0.576697566892656
"ADRA1D","ENSG00000171873","adrenoceptor alpha 1D",0.57174145522565
"ADRA1A","ENSG00000120907","adrenoceptor alpha 1A",0.571512940410455
"RAMP1","ENSG00000132329","receptor activity modifying protein 1",0.571046995975293
"ADRA1B","ENSG00000170214","adrenoceptor alpha 1B",0.56962150411475
"IRAG1","ENSG00000072952","inositol 1,4,5-triphosphate receptor associated 1",0.550785693173598
"ALDH5A1","ENSG00000112294","aldehyde dehydrogenase 5 family member A1",0.543177525435678
"SNAP25","ENSG00000132639","synaptosome associated protein 25",0.528116999918945
"FHL5","ENSG00000112214","four and a half LIM domains 5",0.522904552674525
"TRPM8","ENSG00000144481","transient receptor potential cation channel subfamily M member 8",0.521657298640476
"TSPAN2","ENSG00000134198","tetraspanin 2",0.514277337566624
"SLC6A2","ENSG00000103546","solute carrier family 6 member 2",0.512816474984879
"HTR2C","ENSG00000147246","5-hydroxytryptamine receptor 2C",0.501078948968243
"PHACTR1","ENSG00000112137","phosphatase and actin regulator 1",0.499454507814797
"PRDM16","ENSG00000142611","PR/SET domain 16",0.49372290378361
"NOTCH3","ENSG00000074181","notch receptor 3",0.490732787222078
"ITGB5","ENSG00000082781","integrin subunit beta 5",0.486524550843449
"COL4A1","ENSG00000187498","collagen type IV alpha 1 chain",0.485563011568826
"KCNK5","ENSG00000164626","potassium two pore domain channel subfamily K member 5",0.479524694427628
"MRGPRE","ENSG00000184350","MAS related GPR family member E",0.477621206975432
"HTR1A","ENSG00000178394","5-hydroxytryptamine receptor 1A",0.466397505551467
"HTR2B","ENSG00000135914","5-hydroxytryptamine receptor 2B",0.46461139279698
"RNF213","ENSG00000173821","ring finger protein 213",0.462272453628817
"JAG1","ENSG00000101384","jagged canonical Notch ligand 1",0.460211132358455
"SLC24A3","ENSG00000185052","solute carrier family 24 member 3",0.457895216057304
"SUGCT","ENSG00000175600","succinyl-CoA:glutarate-CoA transferase",0.448160357322695
"ITPK1","ENSG00000100605","inositol-tetrakisphosphate 1-kinase",0.447914802533608
"PLEK","ENSG00000115956","pleckstrin",0.446772331598661
"MPPED2","ENSG00000066382","metallophosphoesterase domain containing 2",0.443352109738751
"POC5","ENSG00000152359","POC5 centriolar protein",0.431001158466266
"HPSE2","ENSG00000172987","heparanase 2 (inactive)",0.426029098662458
"TGFBR2","ENSG00000163513","transforming growth factor beta receptor 2",0.425220424426047
"KCNK18","ENSG00000186795","potassium two pore domain channel subfamily K member 18",0.424799125561083
"ZEB2","ENSG00000169554","zinc finger E-box binding homeobox 2",0.416417625189858
"ASTN2","ENSG00000148219","astrotactin 2",0.416034899499822
"ONECUT2","ENSG00000119547","one cut homeobox 2",0.415743809487394
"ADAMTSL4","ENSG00000143382","ADAMTS like 4",0.410673121050677
"KIAA0040","ENSG00000235750","KIAA0040",0.40972606130625
"DRD2","ENSG00000149295","dopamine receptor D2",0.406228625354197
"CARF","ENSG00000138380","calcium responsive transcription factor",0.402992707635021
"HEY2","ENSG00000135547","hes related family bHLH transcription factor with YRPW motif 2",0.401404841163781
"MT-ND2","ENSG00000198763","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2",0.397298343786054
"PHB1","ENSG00000167085","prohibitin 1",0.390704689402169
"HIC1","ENSG00000177374","HIC ZBTB transcriptional repressor 1",0.384162647710401
"PLCE1","ENSG00000138193","phospholipase C epsilon 1",0.382608413940092
"MAPKAPK2","ENSG00000162889","MAPK activated protein kinase 2",0.38248190700493
"SLC6A3","ENSG00000142319","solute carrier family 6 member 3",0.376829693191904
"PRRT2","ENSG00000167371","proline rich transmembrane protein 2",0.375395308717642
"HTR3A","ENSG00000166736","5-hydroxytryptamine receptor 3A",0.373712282035138
"HTR4","ENSG00000164270","5-hydroxytryptamine receptor 4",0.372493857750961
"ROBO1","ENSG00000169855","roundabout guidance receptor 1",0.371902411346088
"NOL4L","ENSG00000197183","nucleolar protein 4 like",0.371240291834903
"MT-TQ","ENSG00000210107","mitochondrially encoded tRNA-Gln (CAA/G)",0.369579854684702
"MEF2D","ENSG00000116604","myocyte enhancer factor 2D",0.366214533042653
"YAP1","ENSG00000137693","Yes1 associated transcriptional regulator",0.36432841540076
"TJP2","ENSG00000119139","tight junction protein 2",0.362758568080038
"TCF7L2","ENSG00000148737","transcription factor 7 like 2",0.362531501700986
"MYO3B","ENSG00000071909","myosin IIIB",0.361470906314891
"SERPINA1","ENSG00000197249","serpin family A member 1",0.359443739903892
"SPINK2","ENSG00000128040","serine peptidase inhibitor Kazal type 2",0.358487682101304
"TENT5C","ENSG00000183508","terminal nucleotidyltransferase 5C",0.356766412713501
"MT-CO2","ENSG00000198712","mitochondrially encoded cytochrome c oxidase II",0.356564425342571
"NRP1","ENSG00000099250","neuropilin 1",0.356534400706547
"OCA2","ENSG00000104044","OCA2 melanosomal transmembrane protein",0.353591134455399
"LRP1","ENSG00000123384","LDL receptor related protein 1",0.353511697355033
"THADA","ENSG00000115970","THADA armadillo repeat containing",0.350963718335873
"SLC45A1","ENSG00000162426","solute carrier family 45 member 1",0.349432009111761
"COQ8A","ENSG00000163050","coenzyme Q8A",0.347161062333835
"QTGAL","ENSG00000175711","queuosine-tRNA galactosyltransferase",0.346625153463405
"ZNF462","ENSG00000148143","zinc finger protein 462",0.345676961709378
"SLC6A4","ENSG00000108576","solute carrier family 6 member 4",0.344637557804727
"NR3C1","ENSG00000113580","nuclear receptor subfamily 3 group C member 1",0.34309236819729
"ACTN1","ENSG00000072110","actinin alpha 1",0.341589425984424
"SNX24","ENSG00000064652","sorting nexin 24",0.341236664274856
"FUT9","ENSG00000172461","fucosyltransferase 9",0.340654641373487
"HHIPL1","ENSG00000182218","HHIP like 1",0.340357340109607
