"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"CACNA1A","773;12286",46,"10371528;10408532;10408533;11085595;11320173;11803518;11843867;11890456;12056940;12111613;12707077;12756131;12811615;12849426;12915447;14526175;14624354;16508934;16866717;16915377;17119788;17212932;17376154;18184292;18513263;21824570;22784462;22969264;23618705;23985897;28185542;28271496;28573794;30027842;30080864;30167989;31226929;33126486;35115687;36786913;38043972;39568055;39781574;40826382;41147997;9915947","migraine","PubMed+PubTator3"
"ATP1A2","477",26,"12119109;12915447;14624354;16157018;16508934;16866717;16915377;17119788;17727731;18184292;18498390;18513263;22784462;23618705;23919895;25138102;25476251;28185542;28271496;30027842;30167989;31226929;33126486;38043972;39781574;41147997","migraine","PubMed+PubTator3"
"LRP1","4035",22,"21666692;22072275;22683712;23294458;24266335;24666033;24698360;26660531;29397368;29478595;30904033;31842742;34588893;34654805;35454329;36939796;37925562;39333847;39355906;40350427;40826382;41067425","migraine","PubMed+PubTator3"
"NOTCH3","4854;18131",20,"15876982;16807713;19167727;19455354;20038773;20935329;24579972;25095812;25260852;25412914;27781952;28271496;28710804;30027842;31443546;32414585;33767277;36961171;37761855;41147997","migraine","PubMed+PubTator3"
"TRPM8","79054;171382",20,"21666692;22072275;22683712;23294458;24266335;24666033;24698360;26660531;29478595;30256423;30635810;30904033;31842742;31873179;32046629;33447900;34588893;35353773;35454329;37823721","migraine","PubMed+PubTator3"
"MTHFR","4524",19,"16800002;16866710;17927652;19081115;19619240;22375693;22926161;23161188;23230240;23811028;24040787;25039261;27191890;27483173;27726107;30027842;35242249;36807966;39930676","migraine","PubMed+PubTator3"
"SCN1A","6323",17,"16866717;16915377;17119788;18184292;19673951;21713554;22784462;23618705;23919895;26763045;28271496;30027842;31226929;33126486;38043972;39781574;41147997","migraine","PubMed+PubTator3"
"PRDM16","63976",15,"21666692;22072275;24266335;24666033;24698360;28058730;29478595;30382894;30635810;30904033;32046629;34588893;34972135;35454329;39333847","migraine","PubMed+PubTator3"
"serotonin transporter","6532",11,"11085595;11412868;14668201;15642926;16732845;17563839;17598758;19936617;20488209;21450309;24532229","migraine","PubMed+PubTator3"
"ESR1","2099",10,"15654614;16179580;16361951;16504171;17609999;24698360;27019440;35242249;35514537;37925562","migraine","PubMed+PubTator3"
"DRD2","1813",9,"11085595;12811615;17563839;19152006;19772578;20488209;21822697;9513185;9748026","migraine","PubMed+PubTator3"
"5-HTTLPR","6532",8,"11412868;14668201;16732845;17598758;21450309;24532229;27191890;34320725","migraine","PubMed+PubTator3"
"ACE","1636;163",8,"17381556;18366776;19081115;19221299;24444405;27483173;33447900;37925562","migraine","PubMed+PubTator3"
"CGRP","796;24241",8,"21195698;24321404;33155547;34161831;38755568;39266962;40747904;40802209","migraine","PubMed+PubTator3"
"PRRT2","112476",8,"22845787;23077017;23618705;25449067;28271496;30167989;33126486;37884687","migraine","PubMed+PubTator3"
"FHM2","477",7,"16157018;16915377;18184292;22784462;23618705;23919895;38043972","migraine","PubMed+PubTator3"
"Notch3","4854;18131",7,"10802804;10818516;16492242;19363995;25260852;9329692;9633716","migraine","PubMed+PubTator3"
"CACNA1A.","773",6,"10408533;11803518;15705118;21824570;23919895;9915947","migraine","PubMed+PubTator3"
"DBH","1621",6,"11085595;17095019;19152006;19219470;19772578;33447900","migraine","PubMed+PubTator3"
"FHM3","6323",6,"16915377;22784462;23618705;23919895;26763045;38043972","migraine","PubMed+PubTator3"
"KCNK18","338567",6,"20871611;22250207;23919895;27191890;30027842;34199759","migraine","PubMed+PubTator3"
"COMT","1312",5,"19772578;25929431;28089731;33447900;35242249","migraine","PubMed+PubTator3"
"estrogen receptor","2099;24890",5,"16179580;17609999;24189132;37730543;40121175","migraine","PubMed+PubTator3"
"FHL5","9457",5,"23793025;26231841;26660531;39333847;40826382","migraine","PubMed+PubTator3"
"MAOA","4128",5,"17563839;19455600;19772578;20652353;23811028","migraine","PubMed+PubTator3"
"MEF2D","4209",5,"22683712;28058730;30904033;32046629;40826382","migraine","PubMed+PubTator3"
"methylenetetrahydrofolate reductase","4524",5,"22375693;22926161;23161188;25039261;27483173","migraine","PubMed+PubTator3"
"PHACTR1","221692",5,"22683712;28753427;32046629;34654805;40826382","migraine","PubMed+PubTator3"
"STAT6","6778",5,"23793025;36939796;37592229;39333847;40826382","migraine","PubMed+PubTator3"
"TNF","7124",5,"12047333;17635597;19559392;20035431;24959879","migraine","PubMed+PubTator3"
"TNF-alpha","7124",5,"17063315;25434717;32121467;33155547;40419944","migraine","PubMed+PubTator3"
"ANKDD1B","728780",4,"29995844;32632093;34635557;34669083","migraine","PubMed+PubTator3"
"CACNA1E","777",4,"17727731;18676988;28573794;36786913","migraine","PubMed+PubTator3"
"CALCA","796",4,"21195698;33447900;35115687;41315928","migraine","PubMed+PubTator3"
"CALCB","797",4,"33155547;35115687;39578729;41288865","migraine","PubMed+PubTator3"
"dopamine beta-hydroxylase","1621",4,"11085595;17095019;19219470;25929431","migraine","PubMed+PubTator3"
"eNOS","4846",4,"17115991;18687083;22865486;24845269","migraine","PubMed+PubTator3"
"GRIA1","2890",4,"20579352;23772601;26800698;27191890","migraine","PubMed+PubTator3"
"GRIA3","2892",4,"20579352;23772601;26800698;27191890","migraine","PubMed+PubTator3"
"HMGCR","3156",4,"34635557;38183343;38867170;39841246","migraine","PubMed+PubTator3"
"KCNK5","8645",4,"29995844;37884687;38867170;39841246","migraine","PubMed+PubTator3"
"UFL1","23376",4,"26660531;37592229;40826382;41097341","migraine","PubMed+PubTator3"
"APOE","348",3,"11755252;23660682;36807966","migraine","PubMed+PubTator3"
"ASTN2","23245",3,"22683712;28058730;39333847","migraine","PubMed+PubTator3"
"CYP19A1","1588",3,"24698360;27019440;28089731","migraine","PubMed+PubTator3"
"endothelin-1","1906",3,"19661472;23058564;29883369","migraine","PubMed+PubTator3"
"GABRQ","55879",3,"19087248;24040174;33447900","migraine","PubMed+PubTator3"
"HLA","3105",3,"17635597;33447900;36814110","migraine","PubMed+PubTator3"
"insulin receptor","3643",3,"11735220;14624354;16473310","migraine","PubMed+PubTator3"
"monoamine oxidase A","4128",3,"15088153;20213484;20652353","migraine","PubMed+PubTator3"
"MTDH","92140",3,"21448238;30382894;32503413","migraine","PubMed+PubTator3"
"NGF","4803",3,"28447608;36914876;41526330","migraine","PubMed+PubTator3"
