"PMID","Gene","Entrez_ID","Evidence_Text","Source","Title","Journal","Year"
"10371528","CACNA1A","773","High prevalence of CACNA1A truncations and broader clinical spectrum in episodic ataxia type 2.","PubTator3","High prevalence of CACNA1A truncations and broader clinical spectrum in episodic ataxia type 2.","Neurology","1999"
"10408532","CACNA1A","773","OBJECTIVE: To verify linkage to chromosome 19p13, to detect mutations in the CACNA1A gene, and to correlate genetic results to their clinical phenotypes in Italian families with familial hemiplegic migraine (FHM). BACKGROUND: FHM is an autosomal dominant disease, classified as a subtype of migraine with aura. Only a proportion of FHM patients have been associated with chromosome 19p13. Among these, four missense mutations within the CACNA1A gene in five unrelated families have been described. ME","PubTator3","Genetic heterogeneity in Italian families with familial hemiplegic migraine.","Neurology","1999"
"10408533","CACNA1A","773","A novel nonsense mutation in CACNA1A causes episodic ataxia and hemiplegia.","PubTator3","A novel nonsense mutation in CACNA1A causes episodic ataxia and hemiplegia.","Neurology","1999"
"10408533","CACNA1A.","773","OBJECTIVE: To identify the disease-causing mutation and to characterize penetrance and phenotypic variability in a large pedigree with episodic ataxia type 2 (EA-2) previously linked to chromosome 19. BACKGROUND: Mutations in the CACNA1A gene on chromosome 19 encoding a calcium channel subunit cause EA-2, which is characterized by recurrent attacks of imbalance with interictal eye movement abnormalities. METHODS: The authors used single-strand conformation polymorphism (SSCP) analysis to screen ","PubTator3","A novel nonsense mutation in CACNA1A causes episodic ataxia and hemiplegia.","Neurology","1999"
"10759887","Cytochrome P450 2D6","1565","Cytochrome P450 2D6 and glutathione S-transferase M1 genotypes and migraine.","PubTator3","Cytochrome P450 2D6 and glutathione S-transferase M1 genotypes and migraine.","European journal of clinical investigation","2000"
"10759887","glutathione S-transferase M1","2944","Cytochrome P450 2D6 and glutathione S-transferase M1 genotypes and migraine.","PubTator3","Cytochrome P450 2D6 and glutathione S-transferase M1 genotypes and migraine.","European journal of clinical investigation","2000"
"10759887","CYP2D6","1565","BACKGROUND: Migraine is thought to be a disease of the brain and trigeminovascular system. Migraine patients often claim that stress, food, and beverages trigger their attacks. Chemical substances in these foodstuffs with the property of triggering migraine attacks have not yet been characterised. Cytochrome P450 2D6 (CYP2D6) and glutathione S-transferase M1 (GSTM1) are thought to be present in the brain. They metabolise numerous environmental compounds. The genes exhibit genetic polymorphism th","PubTator3","Cytochrome P450 2D6 and glutathione S-transferase M1 genotypes and migraine.","European journal of clinical investigation","2000"
"10759887","GSTM1","2944","BACKGROUND: Migraine is thought to be a disease of the brain and trigeminovascular system. Migraine patients often claim that stress, food, and beverages trigger their attacks. Chemical substances in these foodstuffs with the property of triggering migraine attacks have not yet been characterised. Cytochrome P450 2D6 (CYP2D6) and glutathione S-transferase M1 (GSTM1) are thought to be present in the brain. They metabolise numerous environmental compounds. The genes exhibit genetic polymorphism th","PubTator3","Cytochrome P450 2D6 and glutathione S-transferase M1 genotypes and migraine.","European journal of clinical investigation","2000"
"10766892","CACNL1A4","773","OBJECTIVE: To characterise the phenotype of a family with paroxysmal exercise induced dystonia (PED) and migraine and establish whether it is linked to the paroxysmal non-kinesigenic dyskinesia (PNKD) locus on chromosome 2q33-35, the familial hemiplegic migraine (FHM) locus on chromosome 19p, or the familial infantile convulsions and paroxysmal choreoathetosis (ICCA syndrome) locus on chromosome 16. METHODS: A family, comprising 30 members, was investigated. Fourteen family members in two genera","PubTator3","A new family with paroxysmal exercise induced dystonia and migraine: a clinical and genetic study.","Journal of neurology, neurosurgery, and psychiatry","2000"
"10802804","Notch3","4854","Migraine with aura and white matter abnormalities: Notch3 mutation.","PubTator3","Migraine with aura and white matter abnormalities: Notch3 mutation.","Neurology","2000"
