"PMID","Title","Journal","Year"
"34243621","Genetics, pathophysiology, diagnosis, treatment, management, and prevention of migraine.","Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie","2021"
"39039470","Multi-omics Mendelian randomization integrating GWAS, eQTL and pQTL data revealed GSTM4 as a potential drug target for migraine.","The journal of headache and pain","2024"
"38856190","The impact of genetic factors on the response to migraine therapy.","Reviews in the neurosciences","2024"
"37592229","Identifying causal genes for migraine by integrating the proteome and transcriptome.","The journal of headache and pain","2023"
"36759319","Migraine genetics: Status and road forward.","Cephalalgia : an international journal of headache","2023"
"35115687","Genome-wide analysis of 102,084 migraine cases identifies 123 risk loci and subtype-specific risk alleles.","Nature genetics","2022"
"31226929","Advances in genetics of migraine.","The journal of headache and pain","2019"
"32503413","Genetics of migraine aura: an update.","The journal of headache and pain","2020"
"16866710","Genetic biomarkers for migraine.","Headache","2006"
"27191890","Molecular factors in migraine.","Oncotarget","2016"
"19455354","Molecular genetics of migraine.","Human genetics","2009"
"17048152","Heredity, genes, and headache.","Seminars in neurology","2006"
"29517920","Genetic bases of the nutritional approach to migraine.","Critical reviews in food science and nutrition","2019"
"30362834","Pharmacogenetic considerations for migraine therapies.","Expert opinion on drug metabolism & toxicology","2018"
"16702838","New insights into migraine pathophysiology.","Current opinion in neurology","2006"
"27560467","microRNA profiling in atherosclerosis, diabetes, and migraine.","Annals of medicine","2017"
"32046629","Genetic variants in migraine: a field synopsis and systematic re-analysis of meta-analyses.","The journal of headache and pain","2020"
"23671257","Pearls and pitfalls in genetic studies of migraine.","Cephalalgia : an international journal of headache","2013"
"35796901","Role of Omics in Migraine Research and Management: A Narrative Review.","Molecular neurobiology","2022"
"39578729","Plasma pQTL and brain eQTL integration identifies PNKP as a therapeutic target and reveals mechanistic insights into migraine pathophysiology.","The journal of headache and pain","2024"
"22375693","The role of the MTHFR gene in migraine.","Headache","2012"
"36292730","Genetic Overlap Analysis Identifies a Shared Etiology between Migraine and Headache with Type 2 Diabetes.","Genes","2022"
"38043973","Genetics of migraine: Delineation of contemporary understanding of the genetic underpinning of migraine.","Handbook of clinical neurology","2023"
"24624920","Pharmacogenomics of episodic migraine: time has come for a step forward.","Pharmacogenomics","2014"
"26264634","Association of the Apolipoprotein E polymorphism with migraine: a meta-analysis.","BMC neurology","2015"
"39196222","Genetically proxied HTRA1 protease activity and circulating levels independently predict risk of ischemic stroke and coronary artery disease.","Nature cardiovascular research","2024"
"14624354","Update on the genetics of migraine.","Human genetics","2004"
"17962586","Blood vessels, migraine, and stroke.","Stroke","2007"
"40802209","Circadian Rhythm Cascade SIRT1/PGC-1α/BMAL1 Pathway Regulates Nitroglycerin-Induced Chronic Migraine.","Neurochemical research","2025"
"28271496","Genetics of Migraine: Insights into the Molecular Basis of Migraine Disorders.","Headache","2017"
"37245199","Integrating eQTL and GWAS data characterises established and identifies novel migraine risk loci.","Human genetics","2023"
"34686893","A review of migraine genetics: gathering genomic and transcriptomic factors.","Human genetics","2022"
"24704026","Epigenetics and migraine; complex mitochondrial interactions contributing to disease susceptibility.","Gene","2014"
"21142809","Gene polymorphisms involved in triptans pharmacokinetics and pharmacodynamics in migraine therapy.","Expert opinion on drug metabolism & toxicology","2011"
