"Gene","ClinVar_VariationID","ClinVar_Accession","Query_Phenotype","Matched_Condition","Clinical_Significance","Search_Term","Source"
"A2M","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"A2M","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"A2M-AS1","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"A2M-AS1","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"A2ML1","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"A2ML1","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"A2ML1-AS1","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"A2ML1-AS1","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"AATBC","4796384","VCV004796384","cancer","not provided | none provided | Positive second-trimester serum screening","Pathogenic","""cancer""","ClinVar_XML"
"ABCA1","3892960","VCV003892960","cancer","Hypoalphalipoproteinemia, primary, 1 | FHA | HDLD | FHD | HDLC | HIGH DENSITY LIPOPROTEIN DEFICIENCY, TANGIER TYPE | HIGH DENSITY LIPOPROTEIN DEFICIENCY, TYPE 1 | Tangier disease | Cholesterol thesaurismosis | HDLDT1 | TGD","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ABCB6","4086262","VCV004086262","cancer","ocular coloboma22226084 | ocular coloboma | Microphthalmia, isolated, with coloboma 7 | MICROPHTHALMIA/COLOBOMA 7 | MCOPCB7 | ABCB6","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ABCC9","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ABCC9","4796136","VCV004796136","cancer","not provided | none provided | Prenatal imaging test results suggest short long bone","Pathogenic","""cancer""","ClinVar_XML"
"ABCD1","3724614","VCV003724614","cancer","ADDISON DISEASE AND CEREBRAL SCLEROSIS | BRONZE SCHILDER DISEASE | MELANODERMIC LEUKODYSTROPHY | SIEMERLING-CREUTZFELDT DISEASE | Adrenoleukodystrophy | Adrenoleukodystrophy, ID | X-ALD | ALD","Likely pathogenic","""cancer"" AND ""likely pathogenic""","ClinVar_XML"
"ABCD1","4796070","VCV004796070","cancer","not provided | none provided | Prenatal imaging test results suggest spina bifida,hydrocephalus","Pathogenic","""cancer""","ClinVar_XML"
"ABCD2","4755352","VCV004755352","cancer","See cases | Multiple fetal congenital abnormalities","Pathogenic","""cancer"" AND pathogenic","ClinVar_XML"
"ABCG1","4796384","VCV004796384","cancer","not provided | none provided | Positive second-trimester serum screening","Pathogenic","""cancer""","ClinVar_XML"
"ABHD3","4796208","VCV004796208","cancer","not provided | none provided | Prenatal imaging test results suggest abnormal fetal brain development, consistent with holoprosencephaly.","Likely pathogenic","""cancer""","ClinVar_XML"
