"Gene","ClinVar_VariationID","ClinVar_Accession","Query_Phenotype","Matched_Condition","Clinical_Significance","Search_Term","Source"
"ACADVL","1805210","VCV001805210","migraine","Intellectual developmental disorder 62 | INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62 | MENTAL RETARDATION, AUTOSOMAL DOMINANT 62 | MRD62","Likely pathogenic","""migraine""","ClinVar_XML"
"ACADVL","1895388","VCV001895388","migraine","Intellectual developmental disorder 62 | INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62 | MENTAL RETARDATION, AUTOSOMAL DOMINANT 62 | MRD62","Uncertain significance","""migraine""","ClinVar_XML"
"ACADVL","2431848","VCV002431848","migraine","MENTAL RETARDATION, AUTOSOMAL DOMINANT 62 | INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62 | Intellectual developmental disorder 62 | MRD62","Uncertain significance","""migraine""","ClinVar_XML"
"ADGRL1","1700600","VCV001700600","migraine","Developmental delay, behavioral abnormalities, and neuropsychiatric disorders | DEDBANP | Cognitive delay | Global developmental delay | DD | DEVELOPMENTAL DELAY, BEHAVIORAL ABNORMALITIES, AND NEUROPSYCHIATRIC DISORDERS","Pathogenic","""migraine""","ClinVar_XML"
"ADGRL1-AS1","1700600","VCV001700600","migraine","Developmental delay, behavioral abnormalities, and neuropsychiatric disorders | DEDBANP | Cognitive delay | Global developmental delay | DD | DEVELOPMENTAL DELAY, BEHAVIORAL ABNORMALITIES, AND NEUROPSYCHIATRIC DISORDERS","Pathogenic","""migraine""","ClinVar_XML"
"ADNP2","443197","VCV000443197","migraine","See cases | Abnormality of the ear | Nystagmus | Aggressive behavior | Anxiety | Delayed speech and language development | Intellectual disability | Ataxia | Muscular hypotonia | Spasticity | Cerebellar hypoplasia | Pes planus | Migraine | Ventriculomegaly | Delayed gross motor development | Abnormal facial shape | Incoordination | Scoliosis | Short stature | Preauricular pit | Delayed myelination","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"AFF2","986210","VCV000986210","migraine","Inborn genetic diseases | Seizures | Cleft upper lip | Cleft palate | Ptosis | Hydrocele testis | Bilateral ptosis | Hand tremor | Midface retrusion | Congenital velopharyngeal incompetence | Migraine | Tall stature | Focal seizures | Myoclonus | Proptosis | Abnormality of the nasal cavity | Dental malocclusion | Specific learning disability | Attention deficit hyperactivity disorder | Macrocephalus","Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"AGXT2","1433583","VCV001433583","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AKAP2","9589","VCV000009589","migraine","MT-TL1-related disorders | Leigh syndrome, mitochondrial | MILS | Auditory neuropathy spectrum disorder | Maternally-inherited mitochondrial myopathy | Hypertrophic cardiomyopathy | HYPERTROPHIC MYOCARDIOPATHY | Juvenile myopathy, encephalopathy, lactic acidosis, stroke | MELAS syndrome | MELAS | Leigh Syndrome (mtDNA mutation) | NIDDM WITH DEAFNESS | NONINSULIN-DEPENDENT DIABETES MELLITUS WITH DEAFNESS | Maternally-inherited diabetes and deafness | Ballinger Wallace syndrome | Diabetes mellitus type II with deafness | Diabetes-deafness syndrome maternally transmitted | MIDD | Sensorineural hearing loss | Sensorineural hearing impairment | Sensorineural hearing loss disorder | Sensorineural Deafness | Glucose intolerance | Stroke | Stroke disorder | Short stature | not specified | AllHighlyPenetrant | MERRF syndrome | MYOCLONIC EPILEPSY ASSOCIATED WITH RAGGED-RED FIBERS | Myoencephalopathy ragged-red fiber disease | Myoclonus with epilepsy with ragged red fibers | MERRF | none provided | not provided | Mitochondrial disorder | Mitochondrial disease | Mitochondrial disorders | Histiocytoid cardiomyopathy | FOAMY MYOCARDIAL TRANSFORMATION OF INFANCY | Cyclical vomiting syndrome | Cyclic vomiting syndrome | Familial cyclic vomiting syndrome (subtype) | CVS | MACULOPATHY, AGE-RELATED | MACULAR DEGENERATION, SENILE | MACULOPATHY, AGE-RELATED, 2 | Age related macular degeneration 2 | ARMD2 | MERRF/MELAS overlap syndrome | 3-methylglutaconic aciduria type 1 | MGCA1 | LEIGH SYNDROME, NUCLEAR | Leigh Disease | Leigh syndrome | Subacute necrotizing encephalopathy | Necrotizing encephalopathy infantile subacute of Leigh | Leigh's syndrome | Leigh's necrotizing encephalopathy | Leigh's disease | NULS | SNE | Cerebral palsy | Mitochondrial complex IV deficiency, nuclear type 1 | Mitochondrial complex IV deficiency | Complex 4 mitochondrial respiratory chain deficiency | Deficiency of mitochondrial respiratory chain complex4 | Complex IV deficiency | COX DEFICIENCY | MC4DN1 | See cases | MELAS SYNDROME | 3-@METHYLGLUTACONIC ACIDURIA | CYCLIC VOMITING SYNDROME | MITOCHONDRIAL COMPLEX IV DEFICIENCY | MERRF/MELAS OVERLAP SYNDROME | DIABETES AND DEAFNESS, MATERNALLY INHERITED | LEIGH SYNDROME, MITOCHONDRIAL | see cases | Not Provided | Seizure | Headache | Vomiting | Cerebral calcification | Diagnostic","Pathogenic/Likely pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ALDH18A1","217117","VCV000217117","migraine","ALDH18A1 deficiency | Cutis laxa, autosomal dominant 3 | ADCL3 | Autosomal dominant spastic paraplegia type 9 | de Barsy syndrome | Cutis laxa-corneal clouding-oligophrenia syndrome | CATARACTS WITH MOTOR NEURONOPATHY, SHORT STATURE, AND SKELETAL ABNORMALITIES | SPASTIC PARAPARESIS WITH AMYOTROPHY, CATARACTS, AND GASTROESOPHAGEAL REFLUX | Hereditary spastic paraplegia 9A | SPASTIC PARAPLEGIA 9A, AUTOSOMAL DOMINANT | SPG9 | SPG9A | P5CS deficiency | not provided | none provided | Not Provided | Unsteady gait | Spastic paraparesis | Spastic gait | Scoliosis | Quadriceps muscle atrophy | Pes cavus | Neonatal respiratory distress | Myopia | Migraine | Lumbar hyperlordosis | Lower limb muscle weakness | Low back pain | Kyphoscoliosis | Joint hypermobility | Hyperreflexia | Headache | Hammertoe | Generalized joint laxity | Gait disturbance | Fatigue | Depressivity","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"ALDOA","2506560","VCV002506560","migraine","Infantile convulsions and choreoathetosis | PAROXYSMAL KINESIGENIC DYSKINESIA WITH INFANTILE CONVULSIONS | ICCA | PKD/IC","Pathogenic","""migraine""","ClinVar_XML"
"ALPK1","1911025","VCV001911025","migraine","Splenomegaly, cytopenia, and vision loss | Optic nerve edema-splenomegaly syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | ROSAH syndrome | ROSAH | not provided | none provided","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","1944856","VCV001944856","migraine","AllHighlyPenetrant | not specified | none provided | not provided | Inborn genetic diseases","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","2082610","VCV002082610","migraine","Inborn genetic diseases | not provided | none provided | AllHighlyPenetrant | not specified","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","2161777","VCV002161777","migraine","Optic nerve edema-splenomegaly syndrome | ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | Splenomegaly, cytopenia, and vision loss | ROSAH | not provided | none provided | retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome","Likely benign","""migraine""","ClinVar_XML"
"ALPK1","2364596","VCV002364596","migraine","not provided | none provided | Inborn genetic diseases | AllHighlyPenetrant | not specified","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","2431916","VCV002431916","migraine","Splenomegaly, cytopenia, and vision loss | Optic nerve edema-splenomegaly syndrome | ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | ROSAH","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","2442030","VCV002442030","migraine","Optic nerve edema-splenomegaly syndrome | ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | Splenomegaly, cytopenia, and vision loss | ROSAH","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","2578014","VCV002578014","migraine","Splenomegaly, cytopenia, and vision loss | Optic nerve edema-splenomegaly syndrome | ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | ROSAH | RETINAL DYSTROPHY, OPTIC NERVE EDEMA, SPLENOMEGALY, ANHIDROSIS, AND MIGRAINE HEADACHE SYNDROME","Pathogenic","""migraine""","ClinVar_XML"
"ALPK1","2973231","VCV002973231","migraine","Splenomegaly, cytopenia, and vision loss | ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | Optic nerve edema-splenomegaly syndrome | ROSAH | not provided | none provided | Inborn genetic diseases","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","3064775","VCV003064775","migraine","ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | Splenomegaly, cytopenia, and vision loss | Optic nerve edema-splenomegaly syndrome | ROSAH","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","3367191","VCV003367191","migraine","Optic nerve edema-splenomegaly syndrome | Splenomegaly, cytopenia, and vision loss | ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | ROSAH","Likely pathogenic","""migraine""","ClinVar_XML"
"ALPK1","3385111","VCV003385111","migraine","AllHighlyPenetrant | not specified","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","3667302","VCV003667302","migraine","Splenomegaly, cytopenia, and vision loss | Optic nerve edema-splenomegaly syndrome | ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | ROSAH | none provided | not provided | retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","3779418","VCV003779418","migraine","Optic nerve edema-splenomegaly syndrome | ROSAH syndrome | Splenomegaly, cytopenia, and vision loss | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | ROSAH | retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","3892972","VCV003892972","migraine","Splenomegaly, cytopenia, and vision loss | Optic nerve edema-splenomegaly syndrome | ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | ROSAH","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","3901024","VCV003901024","migraine","ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | Splenomegaly, cytopenia, and vision loss | Optic nerve edema-splenomegaly syndrome | ROSAH","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","3901025","VCV003901025","migraine","ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | Splenomegaly, cytopenia, and vision loss | Optic nerve edema-splenomegaly syndrome | ROSAH","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","3901026","VCV003901026","migraine","ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | Splenomegaly, cytopenia, and vision loss | Optic nerve edema-splenomegaly syndrome | ROSAH","Uncertain significance","""migraine""","ClinVar_XML"
"ALPK1","619031","VCV000619031","migraine","Inborn genetic diseases | ALPK1-related condition | ALPK1-related disorder | Splenomegaly, cytopenia, and vision loss | Optic nerve edema-splenomegaly syndrome | ROSAH syndrome | Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache syndrome | ROSAH | not provided | none provided | RETINAL DYSTROPHY, OPTIC NERVE EDEMA, SPLENOMEGALY, ANHIDROSIS, AND MIGRAINE HEADACHE SYNDROME | Papilledema | Posterior uveitis | Blind-spot enlargment | Low-set ears | Protruding ear | Dry skin | Diastasis recti | Pes cavus | Generalized muscle weakness | Hyperextensibility at elbow | Long palm | Increased arm span | Hyperpronation of the ankles | Abnormal cerebellum morphology | Cerebellar atrophy | Elevated CSF neopterin level | optic nerve edema","Pathogenic","""migraine"" AND pathogenic","ClinVar_XML"
"AMACR","1045362","VCV001045362","migraine","not provided | none provided | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"AMACR","1308710","VCV001308710","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD | none provided | not provided | Not Provided","Uncertain significance","""migraine"" AND pathogenic","ClinVar_XML"
"AMACR","1354911","VCV001354911","migraine","Inborn genetic diseases | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1355076","VCV001355076","migraine","Inborn genetic diseases | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1356567","VCV001356567","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1357314","VCV001357314","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD | AllHighlyPenetrant | not specified | Inborn genetic diseases | RECLASSIFIED - ADRA2C POLYMORPHISM | RECLASSIFIED - ADRB1 POLYMORPHISM | none provided | not provided | Not provided","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1358927","VCV001358927","migraine","none provided | not provided | AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD | Not provided","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1364472","VCV001364472","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1372190","VCV001372190","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1374225","VCV001374225","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1375906","VCV001375906","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1378510","VCV001378510","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1379901","VCV001379901","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1382430","VCV001382430","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD | none provided | not provided | Inborn genetic diseases | Not provided","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1384957","VCV001384957","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1385792","VCV001385792","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1387212","VCV001387212","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1387544","VCV001387544","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1393593","VCV001393593","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1394367","VCV001394367","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1394744","VCV001394744","migraine","AMACR-Related Disorders | AMACR-related condition | AMACR-related disorder | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1395821","VCV001395821","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1396472","VCV001396472","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1396681","VCV001396681","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1397044","VCV001397044","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1397951","VCV001397951","migraine","Inborn genetic diseases | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1400261","VCV001400261","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1400581","VCV001400581","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD | Inborn genetic diseases","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1401327","VCV001401327","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD | Inborn genetic diseases","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1404752","VCV001404752","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1405520","VCV001405520","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1407045","VCV001407045","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD | Inborn genetic diseases","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1408258","VCV001408258","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1410694","VCV001410694","migraine","Inborn genetic diseases | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1411822","VCV001411822","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1412095","VCV001412095","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1412180","VCV001412180","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1413911","VCV001413911","migraine","Inborn genetic diseases | AMACR-related condition | AMACR-Related Disorders | AMACR-related disorder | TRIHYDROXYCOPROSTANIC ACID IN BILE | Congenital bile acid synthesis defect 4 | CHOLESTASIS, INTRAHEPATIC, WITH DEFECTIVE CONVERSION OF TRIHYDROXYCOPROSTANIC ACID TO CHOLIC ACID | CBAS4 | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1416706","VCV001416706","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1419824","VCV001419824","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1420387","VCV001420387","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1421574","VCV001421574","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1424348","VCV001424348","migraine","Inborn genetic diseases | Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1424939","VCV001424939","migraine","Alpha-methylacyl-CoA racemase deficiency | AMACR deficiency | AMACRD | Inborn genetic diseases","Likely benign","""migraine""","ClinVar_XML"
"AMACR","1425170","VCV001425170","migraine","AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
"AMACR","1427040","VCV001427040","migraine","Inborn genetic diseases | AMACR deficiency | Alpha-methylacyl-CoA racemase deficiency | AMACRD","Uncertain significance","""migraine""","ClinVar_XML"
